text;grand_truth;calculated;dif;found phrases;out of
Says the Annies List political group supports third-trimester abortions on demand.;0;-1;1.0;0;9
When did the decline of coal start? It started when natural gas took off that started to begin in President George W. Bushs administration.;0.5;1.0;-0.5;1;22
Hillary Clinton agrees with John McCain by voting to give George Bush the benefit of the doubt on Iran.;0.75;-1;1.75;0;17
Health care reform legislation is likely to mandate free sex change surgeries.;0;-1;1.0;0;10
The economic turnaround started at the end of my term.;0.5;1.0;-0.5;1;8
The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured UW faculty fired during the last two decades.;1;-1;2.0;0;25
Jim Dunnam has not lived in the district he represents for years now.;0.25;-1;1.25;0;11
Im the only person on this stage who has worked actively just last year passing along with Russ Feingold some of the toughest ethics reform since Watergate.;0.5;1.0;-0.5;1;25
However it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.;0.5;-1;1.5;0;21
Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.;0.75;-1;1.75;0;19
For the first time in history the share of the national popular vote margin is smaller than the Latino vote margin.;0.75;-1;1.75;0;19
Since 2000 nearly 12 million Americans have slipped out of the middle class and into poverty.;0.5;-1;1.5;0;14
When Mitt Romney was governor of Massachusetts we didnt just slow the rate of growth of our government we actually cut it.;0;-1;1.0;0;20
The economy bled $24 billion due to the government shutdown.;0.75;-1;1.75;0;8
Most of the Affordable Care Act has already in some sense been waived or otherwise suspended.;0.25;-1;1.25;0;14
In this last election in November ... 63 percent of the American people chose not to vote ... 80 percent of young people and 75 percent of low-income workers chose not to vote.;0.5;0.5128994902206405;-0.01289949022064052;2;31
McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote disgraceful. ;1;-1;2.0;0;17
U.S. Rep. Ron Kind D-Wis. and his fellow Democrats went on a spending spree and now their credit card is maxed out;0.25;-1;1.25;0;20
Water rates in Manila Philippines were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.;0.5;-1;1.5;0;20
Almost 100000 people left Puerto Rico last year.;0.75;-1;1.75;0;6
