text;ground_truth;found;phrases_found;out_of
When I was in college we used to take a popcorn popper and we would fry squirrel;1.0;0.12356166603953644;3;15
Ronald Reagan raised taxes in 1982 1984 1985 1986 and 1987;1.0;0.9990552848583308;3;9
Says Sen. Rand Paul R-Ky. has stated that supporting the right to health care means you believe in slavery;1.0;0.0034629704172949305;3;17
Says Bernie Sanders health care plan would empower Republicangovernors to take away Medicaidto take away health insurance for low-income and middle-income working Americans;0.25;0.931719320201636;6;21
In 2006 Planned Parenthood performed more prevention services and cancer screenings than abortions but in 2013 there were more abortions;0.0;0.02802625222119315;2;18
A proposed amendment allows a teenager to get a recommendation for medical marijuana without the consent of a parent;0.5;0.931719320201636;2;17
Says nothing in Obamas $3.7 billion request to address the child immigrant situation actually secures the border;0.25;1.0;1;15
Pregnant women trying to buy health insurance on their own are barred from maternity coverage because they have a pre-existing condition;1.0;0.7919786324150858;6;19
If youre earning under $100000 a year and you commute to New York every day you pay more to the Port Authority in tolls than you pay to the state of New Jersey in income tax;1.0;0.9175416304676954;10;34
In Chile they have 72 percent of the GDP in savings;0.5;0.9954585668162982;3;9
There are 850000 Ohio jobs tied to the auto industry;1.0;0.05011028069535939;2;8
The Mexican government forces many bad people into our country;0.0;0.0014044033656429589;2;8
A sitting sheriff cannot be charged except by a warrant issued by a Superior Court judge;0.5;1.0;1;14
Since 1999 all Virginia Lottery profits have been used for public education in the Commonwealth for kindergarten through 12th grade;0.75;0.05011028069535939;4;18
Says House Republicans rejected a straightforward measure that would prevent members of Congress and the president from being paid during a government shutdown;0.75;0.07176436345775172;5;21
Governor Christie also remains the only Governor since World War II among both Democrats and Republicans who failed to have his party win control of at least one legislative body over the course of his term;0.0;0.8846028630498295;10;34
Sixty-percent of the state retireesdont get Social Security;0.0;0.02802625222119315;2;6
Over 73% of all donations raised from the ALS Ice Bucket Challenge are going to fundraising overhead executive salaries and external donations;0.0;0.0;1;20
If you go strictly by the numbers crime is down across the board. Last year we had a 10 percent decrease in the most serious crimes;1.0;0.98358527784559;6;24
Sunday liquor sales could generate $3.4 million to $4.8 million a year in additional sales tax revenue for Georgia;0.75;1.0;2;17
Says the 2010-11 New Hampshire budget ended with an $18 million surplus while the Republican-led 2012-13 budget has a $40 million deficit;0.75;-1;0;20
Says Barack Obama was silent on Iran when the students took to the streets in Tehran and the people there protested and the Green Revolution occurred;0.25;0.0;2;24
No candidate has run more negative ads in American history than Barack Obama did in 2008 especially in the general;0.75;0.07176436345775172;5;18
Inner-city crime is reaching record levels;0.0;0.0;2;4
The right-to-work states have much lower level of unemployment than the union states do;0.75;-1;0;12
Oklahomas Republican Gov. Mary Fallin signed a new law which makes you pay a special fee. It will essentially fine people for the crime of using solar power;0.25;0.021448143468658976;3;26
Tampa mayoral opponent Bob Buckhorn supported forcing police officers to keep their guns locked in the trunks of their cruisers;0.0;0.021448143468658976;3;18
Millions could lose their health care coverage and be forced into a government pool under the new health care law;0.0;0.0043331630233380825;11;18
A Texas police department bought an ad telling drug dealers We can take your competition off the streets for FREE;1.0;1.0;1;18
Only a few months ago the FBI arrested three Broward County Commissioners for accepting millions of dollars in trade for illegal favors;0.0;0.06547901769190945;4;20
Our unemployment rate has been higher than 8 percent for more than two-and-a-half years far above what the Obama Administration promised with the stimulus;0.25;0.8973194535636286;9;22
Thanks in part to our all-of-the-above strategy for American energy the United States generates more natural gas than anybody;0.75;0.0034629704172949305;3;17
State law says that once the state appraises a piece of property they can only pay it a certain amount above appraisal;1.0;0.02802625222119315;2;20
Ted Cruz helps run two national organizations that have been leading the push to give amnesty to illegal immigrants;0.0;0.0014044033656429589;4;17
Says Chris Christie created this new category where you could get laid off and just be totally denied unemployment benefits forever;0.75;0.02802625222119315;2;19
Thanks to our reforms the average family will have an extra $322 to spend;0.75;0.9667452787349287;2;12
Measles is one of the most common causes of child blindness worldwide;1.0;0.2886827840122874;4;10
When oil and gas prices sent state revenues up Palin sent a large share of that revenue directly back to the people of Alaska;1.0;0.9200711463857715;4;22
Says he was the only Republican candidate at a prior debate who said lower-income workers were being hurt by the economy;0.25;0.8616696065200133;5;19
Says Hillary Clintons top 10 donors are mainly banks corporations and media while Bernie Sanders top 10 donors are labor unions;0.75;0.0;1;19
Portland Community College serves more students than all of the states universities combined;0.0;0.8634349346216945;3;11
If we dont spend money on a pier then that money does wipe into the general funds of the city or the county and if you send it to the county you never see it again;0.5;0.8945067635354301;7;34
Obamacare is the largest tax increase in the history of the world;0.0;0.04552958527192663;10;10
Republican candidate for governor Allan Fung donated to Democrats like Congressman David Cicilline disgraced House speaker Gordon Fox and even Mr. Obamacare Harry Reid;0.75;0.02802625222119315;2;22
Says Barack Obama founded ISIS. I would say the co-founder would be crooked Hillary Clinton;0.0;0.0;1;13
More than 70000 job openings are listed on a state jobs website;0.75;1.0;1;10
When the United States invaded Iraq Saddam Hussein wanted to acquire weapons of mass destruction and he said so himself after his capture;1.0;0.9667452787349287;4;21
When asked about bills in Congress important to the North Country Derrick responded I just dont know enough about it;0.25;1.0;1;18
Except for Virginia the other 49 states keep raising their gas tax;0.0;0.0;2;10
Says 70000 children have lost their Head Start slots because of the sequester;0.25;0.17358250464020253;3;11
On disaster aid offset;0.0;-1;0;2
Strickland raised taxes last year to the tune of $840 million;0.75;0.0005695540463120929;4;9
Sarah Palin has more experience than Barack Obama;0.0;0.0034629704172949305;3;6
A golf course closes somewhere in America every 48 hours;0.5;-1;0;8
If you rent a U-Haul to move your company it costs twice as much to go from San Francisco to Austin than the other way around because you cant find enough trucks to flee the Golden State;1.0;0.0013718467396842682;5;35
The Congressional Budget Office has already doubled its estimate for the cost of Obamacare so far from roughly $800 billion to $1.7 trillion;0.0;0.02802625222119315;8;21
Oregons three largest employers and 13 of the top 25 are health care providers;0.0;0.9988647033206053;4;12
We get 30 percent of our oil from the Gulf of Mexico;0.25;0.9712243223697339;5;10
The Department of Energys Billion Ton Study has shown that wind and solar energy combined could at best provide only 5 percent of our total energy needs;0.0;0.9462800005648742;7;25
Says the U.S. Constitution provides for just compensation when land is taken under eminent domain;1.0;0.931719320201636;2;13
Says Mitt Romneys campaign has already spent more on negative ads than John McCain did during his entire presidential run;0.0;0.05011028069535939;2;18
As we near the 10th anniversary of the 9/11 terrorist attacks we should not forget that some of the hijackers used New Jersey drivers licenses to board those aircraft;0.0;0.0002485178676702171;5;27
