Data:    (DD/MM/AAAA)27/4/2019
Hora:    (HH:MM:SS)21:37:15
Training_File:   ../reports/report2742019211858_3/validation_tab.csv
Validation_File: ../reports/report2742019211858_3/validation_tab.csv
Palavra: WOMEN
Palavra: AND
Palavra: MEN
Probabilidade: 0.0
Alfa: 1
Palavra: AND
Palavra: MEN
Palavra: BOTH
Probabilidade: 0.0
Alfa: 1
Palavra: MEN
Palavra: BOTH
Palavra: ARE
Probabilidade: 0.0
Alfa: 1
Palavra: BOTH
Palavra: ARE
Palavra: MAKING
Probabilidade: 0.0
Alfa: 1
Palavra: ARE
Palavra: MAKING
Palavra: LESS
Probabilidade: 0.0
Alfa: 1
Palavra: MAKING
Palavra: LESS
Palavra: WHEN
Probabilidade: 0.0
Alfa: 1
Palavra: LESS
Palavra: WHEN
Palavra: YOU
Probabilidade: 0.0
Alfa: 1
Palavra: WHEN
Palavra: YOU
Palavra: ADJUST
Probabilidade: 0.0
Alfa: 1
Palavra: YOU
Palavra: ADJUST
Palavra: FOR
Probabilidade: 0.0
Alfa: 1
Palavra: ADJUST
Palavra: FOR
Palavra: INFLATION
Probabilidade: 0.0
Alfa: 1
Palavra: FOR
Palavra: INFLATION
Palavra: THAN
Probabilidade: 0.0
Alfa: 1
Palavra: INFLATION
Palavra: THAN
Palavra: WHEN
Probabilidade: 0.0
Alfa: 1
Palavra: THAN
Palavra: WHEN
Palavra: JOHN
Probabilidade: 0.0
Alfa: 1
Palavra: WHEN
Palavra: JOHN
Palavra: KITZHABER
Probabilidade: 0.0
Alfa: 1
Palavra: JOHN
Palavra: KITZHABER
Palavra: WAS
Probabilidade: 0.0
Alfa: 1
Palavra: KITZHABER
Palavra: WAS
Palavra: FIRST
Probabilidade: 0.0
Alfa: 1
Palavra: WAS
Palavra: FIRST
Palavra: ELECTED
Probabilidade: 0.0
Alfa: 1
Palavra: FIRST
Palavra: ELECTED
Palavra: GOVERNOR.
Probabilidade: 0.0
Alfa: 1
['0', 'Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.']
0
1.0
Palavra: THE
Palavra: UNITED
Palavra: STATES
Probabilidade: 0.75
Alfa: 1
Palavra: UNITED
Palavra: STATES
Palavra: HAS
Probabilidade: 0.75
Alfa: 1
Palavra: STATES
Palavra: HAS
Palavra: THE
Probabilidade: 0.75
Alfa: 1
Palavra: HAS
Palavra: THE
Palavra: HIGHEST
Probabilidade: 0.75
Alfa: 1
Palavra: THE
Palavra: HIGHEST
Palavra: CORPORATE
Probabilidade: 0.75
Alfa: 1
Palavra: HIGHEST
Palavra: CORPORATE
Palavra: TAX
Probabilidade: 0.75
Alfa: 1
Palavra: CORPORATE
Palavra: TAX
Palavra: RATE
Probabilidade: 0.75
Alfa: 1
Palavra: TAX
Palavra: RATE
Palavra: IN
Probabilidade: 0.75
Alfa: 1
Palavra: RATE
Palavra: IN
Palavra: THE
Probabilidade: 0.75
Alfa: 1
Palavra: IN
Palavra: THE
Palavra: FREE
Probabilidade: 0.75
Alfa: 1
Palavra: THE
Palavra: FREE
Palavra: WORLD.
Probabilidade: 0.75
Alfa: 1
['0.75', 'The United States has the highest corporate tax rate in the free world.']
0.75
0.7999999523162842
Palavra: WE
Palavra: JUST
Palavra: HAD
Probabilidade: 0.75
Alfa: 1
Palavra: JUST
Palavra: HAD
Palavra: THE
Probabilidade: 0.75
Alfa: 1
Palavra: HAD
Palavra: THE
Palavra: BEST
Probabilidade: 0.75
Alfa: 1
Palavra: THE
Palavra: BEST
Palavra: YEAR
Probabilidade: 0.75
Alfa: 1
Palavra: BEST
Palavra: YEAR
Palavra: FOR
Probabilidade: 0.75
Alfa: 1
Palavra: YEAR
Palavra: FOR
Palavra: THE
Probabilidade: 0.75
Alfa: 1
Palavra: FOR
Palavra: THE
Palavra: AUTO
Probabilidade: 0.75
Alfa: 1
Palavra: THE
Palavra: AUTO
Palavra: INDUSTRY
Probabilidade: 0.75
Alfa: 1
Palavra: AUTO
Palavra: INDUSTRY
Palavra: IN
Probabilidade: 0.75
Alfa: 1
Palavra: INDUSTRY
Palavra: IN
Palavra: AMERICA
Probabilidade: 0.75
Alfa: 1
Palavra: IN
Palavra: AMERICA
Palavra: IN
Probabilidade: 0.75
Alfa: 1
Palavra: AMERICA
Palavra: IN
Palavra: HISTORY.
Probabilidade: 0.75
Alfa: 1
['0.75', 'We just had the best year for the auto industry in America in history.']
0.75
0.800000011920929
Palavra: SAYS
Palavra: SCOTT
Palavra: WALKER
Probabilidade: 0.5
Alfa: 1
Palavra: SCOTT
Palavra: WALKER
Palavra: FAVORS
Probabilidade: 0.5
Alfa: 1
Palavra: WALKER
Palavra: FAVORS
Palavra: CUTTING
Probabilidade: 0.5
Alfa: 1
Palavra: FAVORS
Palavra: CUTTING
Palavra: UP
Probabilidade: 0.5
Alfa: 1
Palavra: CUTTING
Palavra: UP
Palavra: TO
Probabilidade: 0.5
Alfa: 1
Palavra: UP
Palavra: TO
Palavra: 350000
Probabilidade: 0.5
Alfa: 1
Palavra: TO
Palavra: 350000
Palavra: FAMILIES
Probabilidade: 0.5
Alfa: 1
Palavra: 350000
Palavra: FAMILIES
Palavra: AND
Probabilidade: 0.5
Alfa: 1
Palavra: FAMILIES
Palavra: AND
Palavra: CHILDREN
Probabilidade: 0.5
Alfa: 1
Palavra: AND
Palavra: CHILDREN
Palavra: OFF
Probabilidade: 0.5
Alfa: 1
Palavra: CHILDREN
Palavra: OFF
Palavra: HEALTH
Probabilidade: 0.5
Alfa: 1
Palavra: OFF
Palavra: HEALTH
Palavra: CARE.
Probabilidade: 0.5
Alfa: 1
['0.5', 'Says Scott Walker favors cutting up to 350000 families and children off health care.']
0.5
0.666748046875
Palavra: SAYS
Palavra: MITT
Palavra: ROMNEY
Probabilidade: 0.25
Alfa: 1
Palavra: MITT
Palavra: ROMNEY
Palavra: WANTS
Probabilidade: 0.25
Alfa: 1
Palavra: ROMNEY
Palavra: WANTS
Palavra: TO
Probabilidade: 0.25
Alfa: 1
Palavra: WANTS
Palavra: TO
Palavra: GET
Probabilidade: 0.25
Alfa: 1
Palavra: TO
Palavra: GET
Palavra: RID
Probabilidade: 0.25
Alfa: 1
Palavra: GET
Palavra: RID
Palavra: OF
Probabilidade: 0.25
Alfa: 1
Palavra: RID
Palavra: OF
Palavra: PLANNED
Probabilidade: 0.25
Alfa: 1
Palavra: OF
Palavra: PLANNED
Palavra: PARENTHOOD.
Probabilidade: 0.25
Alfa: 1
['0.25', 'Says Mitt Romney wants to get rid of Planned Parenthood.']
0.25
0.6143341064453125
Palavra: I
Palavra: DONT
Palavra: KNOW
Probabilidade: 0.0
Alfa: 1
Palavra: DONT
Palavra: KNOW
Palavra: WHO
Probabilidade: 0.0
Alfa: 1
Palavra: KNOW
Palavra: WHO
Palavra: (JONATHAN
