text;ground_truth;found;phrases_found;out_of
The city of Clarkston cant decriminalize marijuana. Only state legislators and Congress can do that;1.0;1.0;2;13
I fought to bring about the largest private-sector infrastructure project in North American history;0.5;0.9517750625617325;2;12
Two years ago motorists in Ferguson a city of 20000 people received 31000 citations. Thats at least one citation per person plus 10000 for visitors. The city is still surviving only on traffic tickets;0.25;0.0;2;32
Californias proposed tobacco tax diverts 82 percent of the new taxes to line the pockets of wealthy special interests like insurance companies who dont have to help even one more patient;0.25;0.17620180670078;8;29
A Democratic poll operation shows that Fox News is the most trusted news operation in the country;1.0;0.023746149273378814;4;15
If you care about the environment weve got record funding;0.0;-1;0;8
It was Rob Portmans job to stop Chinas illegal dumping of steel. He failed looked the other way did nothing;0.0;1.0;1;18
After Arizona banned smoking in all public places in 2007 admissions for acute myocardial infarction stroke asthma and angina decreased following the implementation of the ban;0.5;-1;0;24
Says Mitt Romney has flip-flopped on abortion rights;1.0;0.9842829334601906;5;6
A black male baby born today if we do not change the system stands a one-in-three chance of ending up in jail;0.75;0.06147930765563536;3;20
Joe Straus is the first Jewish speaker of the Texas House;0.75;0.014348347769917447;4;9
Fox News said the New Black Panther Party decided the election for Barack Obama;0.0;0.0;5;12
We have provided at least 16 tax cuts to small businesses;0.75;0.014348347769917447;2;9
Says Charlie Bass supports Paul Ryan plan that forces seniors to pay $6400 a year more for health care so millionaires can pay less in taxes;0.25;0.17179228947938918;4;24
Says Donald Trump is a guy who has called for privatization of the Veterans Administration;0.25;0.020132812529606636;6;13
Undocumented workers crossing the border right now is at a 12-year low;0.75;0.00012193275553484817;2;10
We had 2 percent of the global market for advanced batteries when he Obama started. We now have 16 percent headed to 40 percent by 2015;0.5;0.21547130782941537;5;24
$6 billion water bond program voters passed in 2011 has yet to be tapped;0.75;0.0;1;12
Says about 100000 kids in this country leave their home state and go to another state to be educated. Out of that 100000 young people 30000 of them are from New Jersey by far the largest amount;0.5;0.9517750625617325;4;35
Obama did accept donations from lobbyists and PACs and he spent money in this campaign from that through his political action committee;1.0;1.0;1;20
Says Rick Scott gave a deposition in which he invoked the Fifth Amendment 75 times about his dealings as head of Columbia/HCA hospital chai;0.75;0.0835214887315352;3;22
Immigrants have captured all of the nearly 9 million jobs created since 2000;0.25;0.9976743554090752;4;11
The world food demand is going to double sometime between now and 2070;1.0;0.0;1;11
Alabamians havent changed their opinion on same-sex marriage since voting to ban it in 2006;0.5;0.0;1;13
All Maryland crabs are born in Virginia;0.75;1.0;1;5
Says U.S. Sen. Ron Johnson opposes faster broadband internet in small towns and got nearly $90000 in campaign contributions from the telecom special interests;0.5;0.044132478451247126;7;22
Every major study that has been done by a legitimate group shows that there are hundreds of thousands of jobs to be created if you pass our cap-and-trade legislation. And if you wind up pricing carbon;0.0;0.043815362885815334;5;34
Texas legislation would allow teachers to kill their students if they felt it was needed;0.5;-1;0;13
Every poll said I won the debate;0.5;0.0;1;5
McCain said the other day that he would not meet potentially with the prime minister of Spain because he wasnt sure whether they were aligned with us;0.75;0.9995143643663645;6;25
Forty percent of the country is going to be in states that are tolerant of gay marriage or at least civil unions;1.0;0.05625733421549728;8;20
The president is advocating a drone strike program in America;0.0;-1;0;8
Over the history of Austin its always gotten more expensive;0.25;1.0;1;8
Neither Hillary Clinton or Donald Trump has a plan to address the civil war in Syria;0.75;0.0040939394473586965;6;14
Says a voter-adopted constitutional amendment instructed a state board headed by Jerry Patterson to put $300 million in investment earnings into a fund supporting public school operations;0.25;-1;0;25
There have been multiple media reports about Donald Trumps business dealings with the mob with the mafia;1.0;0.008498034581405634;2;15
The Greenlight Pinellas 1-cent sales tax is permanent we never get to vote on this again;0.5;0.023746149273378814;4;14
Says state Rep. Fred Clark D-Baraboo ran a red light and seriously injured a bicyclist;1.0;1.0;1;13
Hes promising four more years of an administration that will push for the privatization of Social Securit;0.0;0.008498034581405634;2;15
The average person only pays about $1800 in state taxes which is the lowest of all 50 states;0.75;0.011255921696205151;7;16
The Austin Independent School Districts graduation rate reached an all-time high of 82.5 percent in 2012;1.0;0.17179228947938918;4;14
Says Scott Brown voted with President Barack Obama 70 percent of the time in 2011;0.75;0.06856414543798284;8;13
ISIS lures women with kittens nutella;0.25;-1;0;4
In the past six years alone changes to the pension formula have saved over half a billion dollars;0.25;0.0027132342203098903;7;16
Texas added 6600 miles of highway from 2001-2012 more than any other state;0.5;0.8302681655720355;3;11
Premeditation in murder cases like the Oscar Pistorius case can be formed in the twinkling of an eye;0.25;-1;0;16
Says in the last five years Senate Republicans have placed a filibuster on every piece of legislation and every nominee;0.0;0.003659524337535802;5;18
Every major newspaper in Texas calls David Dewhurst a moderate;0.25;-1;0;8
Says six of the states 58 family planning centers had to close because of Gov. Chris Christies budget cuts;1.0;0.9196767269823205;3;17
Last year Korea sold nearly half a million cars in our country. The United States you know how much we sell to them? Six thousand. What kind of deal is that;0.75;0.043815362885815334;5;29
A married couple that use the same last name is rarer and rarer in our country;0.25;0.9865780998990689;2;14
Claims that former Sen. Tom Daschle said Seniors should be more accepting of the conditions that come with age instead of treating them;0.0;0.008498034581405634;2;21
The tax-cut deal adds more than $800 billion to the deficit over two years  more than the cost of TARP and more than the cost of the Recovery Act and about the same as health care reform;0.75;0.038101700467224386;18;35
Wrote that in 2006 Nancy Pelosi said she didnt think capturing Osama bin Laden makes us any safer but in 2011 called his killing historic;0.5;0.0;2;23
Thanks to ObamaCare average E.R. wait in California is 5 hours;0.0;-1;0;9
Obama voted for $3-million for an overhead projector at a planetarium in Chicago;0.5;1.0;1;11
It is rare that a retirement grade determination is conducted for an officer previously retired from the U.S. armed forces;1.0;-1;0;18
Says Rep. Justin Amash votes more with the Democrats than with the Republicans;0.0;0.0005224532824984474;3;11
Says Mitt Romney runs away from Ronald Reagan;0.25;1.0;1;6
We have the lowest percentage of Americans actually holding a job in 40 years;0.75;0.9976743554090752;4;12
Says John Kitzhabers proposed budget for upcoming biennium represents 8 percent increase over las;0.25;-1;0;12
Undocumented immigrantspay $12 billion a year into Social Security;0.5;0.008498034581405634;2;7
Says Miami-Dade mayoral candidate Julio Robaina has the highest salary among Florida mayors. More than $260000;0.5;1.0;1;14
The balanced-budget amendment once came within one vote of passing Congress but was defeated because of the no vote from a top Senate Republican and Rick Santorum says he stood up and called for him to resign his chairmanship;1.0;0.007596293196749371;10;37
