Data:    (DD/MM/AAAA)18/5/2019
Hora:    (HH:MM:SS)21:59:14
Training_File:   ../reports/report185201921336_4/training_tab.csv
Validation_File: ../reports/report185201921336_4/validation_tab.csv
Palavra: SAYS
Palavra: BERNIE
Palavra: SANDERS
Palavra: VOTED
Probabilidade: 0.75
Alfa: 3.75
Palavra: BERNIE
Palavra: SANDERS
Palavra: VOTED
Palavra: FOR
Probabilidade: 0.75
Alfa: 3.75
Palavra: SANDERS
Palavra: VOTED
Palavra: FOR
Palavra: WHAT
Probabilidade: -1
Alfa: -5.0
Palavra: VOTED
Palavra: FOR
Palavra: WHAT
Palavra: WE
Probabilidade: -1
Alfa: -5.0
Palavra: FOR
Palavra: WHAT
Palavra: WE
Palavra: CALL
Probabilidade: -1
Alfa: -5.0
Palavra: WHAT
Palavra: WE
Palavra: CALL
Palavra: THE
Probabilidade: -1
Alfa: -5.0
Palavra: WE
Palavra: CALL
Palavra: THE
Palavra: CHARLESTON
Probabilidade: -1
Alfa: -5.0
Palavra: CALL
Palavra: THE
Palavra: CHARLESTON
Palavra: LOOPHOLE
Probabilidade: -1
Alfa: -5.0
['0.75', 'Says Bernie Sanders voted for what we call the Charleston Loophole']
Probabilidade do texto:  0.75
Probabilidade calculada: 0.9696969697200751
Palavra: WE
Palavra: DONT
Palavra: HAVE
Palavra: ANY
Probabilidade: 0.0
Alfa: 0.0
Palavra: DONT
Palavra: HAVE
Palavra: ANY
Palavra: CHESS
Probabilidade: -1
Alfa: -5.0
Palavra: HAVE
Palavra: ANY
Palavra: CHESS
Palavra: GRANDMASTERS
Probabilidade: -1
Alfa: -5.0
Palavra: ANY
Palavra: CHESS
Palavra: GRANDMASTERS
Palavra: IN
Probabilidade: -1
Alfa: -5.0
Palavra: CHESS
Palavra: GRANDMASTERS
Palavra: IN
Palavra: THE
Probabilidade: -1
Alfa: -5.0
Palavra: GRANDMASTERS
Palavra: IN
Palavra: THE
Palavra: UNITED
Probabilidade: -1
Alfa: -5.0
Palavra: IN
Palavra: THE
Palavra: UNITED
Palavra: STATES
Probabilidade: 0.49175824175824173
Alfa: 2.4587912087912085
['0', 'We dont have any chess grandmasters in the United States']
Probabilidade do texto:  0
Probabilidade calculada: 0.8163781328996704
Palavra: OBAMAS
Palavra: PLAN
Palavra: FOR
Palavra: HEALTH
Probabilidade: -1
Alfa: -5.0
Palavra: PLAN
Palavra: FOR
Palavra: HEALTH
Palavra: CARE
Probabilidade: -1
Alfa: -5.0
Palavra: FOR
Palavra: HEALTH
Palavra: CARE
Palavra: REFORM
Probabilidade: 0.75
Alfa: 3.75
Palavra: HEALTH
Palavra: CARE
Palavra: REFORM
Palavra: ENDS
Probabilidade: -1
Alfa: -5.0
Palavra: CARE
Palavra: REFORM
Palavra: ENDS
Palavra: EXORBITANT
Probabilidade: -1
Alfa: -5.0
Palavra: REFORM
Palavra: ENDS
Palavra: EXORBITANT
Palavra: OUT-OF-POCKET
Probabilidade: -1
Alfa: -5.0
Palavra: ENDS
Palavra: EXORBITANT
Palavra: OUT-OF-POCKET
Palavra: EXPENSES
Probabilidade: -1
Alfa: -5.0
Palavra: EXORBITANT
Palavra: OUT-OF-POCKET
Palavra: EXPENSES
Palavra: DEDUCTIBLES
Probabilidade: -1
Alfa: -5.0
Palavra: OUT-OF-POCKET
Palavra: EXPENSES
Palavra: DEDUCTIBLES
Palavra: OR
Probabilidade: -1
Alfa: -5.0
Palavra: EXPENSES
Palavra: DEDUCTIBLES
Palavra: OR
Palavra: CO-PAYS
Probabilidade: -1
Alfa: -5.0
['0.75', 'Obamas plan for health care reform ends exorbitant out-of-pocket expenses deductibles or co-pays']
Probabilidade do texto:  0.75
Probabilidade calculada: 0.9696969696962436
Palavra: THE
Palavra: NO.
Palavra: 1
Palavra: CAUSE
Probabilidade: 0.75
Alfa: 3.75
Palavra: NO.
Palavra: 1
Palavra: CAUSE
Palavra: OF
Probabilidade: 0.75
Alfa: 3.75
Palavra: 1
Palavra: CAUSE
Palavra: OF
Palavra: CHILDHOOD
Probabilidade: -1
Alfa: -5.0
Palavra: CAUSE
Palavra: OF
Palavra: CHILDHOOD
Palavra: DEATHS
Probabilidade: -1
Alfa: -5.0
Palavra: OF
Palavra: CHILDHOOD
Palavra: DEATHS
Palavra: IS
Probabilidade: -1
Alfa: -5.0
Palavra: CHILDHOOD
Palavra: DEATHS
Palavra: IS
Palavra: PREVENTABLE
Probabilidade: -1
Alfa: -5.0
Palavra: DEATHS
Palavra: IS
Palavra: PREVENTABLE
Palavra: ACCIDENTS
Probabilidade: -1
Alfa: -5.0
['0.75', 'The No. 1 cause of childhood deaths is preventable accidents']
Probabilidade do texto:  0.75
Probabilidade calculada: 0.9696969689575956
Palavra: JEFF
Palavra: ATWATERS
Palavra: BANK
Palavra: WAS
Probabilidade: -1
Alfa: -5.0
Palavra: ATWATERS
Palavra: BANK
Palavra: WAS
Palavra: SO
