text;ground_truth;found;phrases_found;out_of
Says Jeb Bush not only opposes marriage equality hes said he personally believes gay couples should be banned from adopting children;0.75;0.9816314571682861;2;19
Natalyn Archibong skipped Atlanta City Council meetings or was late 90% of the time. Then she voted herself a pay raise;0.25;0.903495225883198;3;19
Under Republican-backed state budget the state education agency estimates expansion of Wisconsins school voucher program could cost nearly $2 billion annuall;0.0;0.0;2;19
Says abill he vetoed to give driver licenses to certain immigrants known as Dreamers would havechanged nothing;0.5;0.0;1;15
U.S. military uniforms are manufactured in China;0.0;-1;0;5
The Bush tax cuts helped to create a substantial part of the deficit;1.0;0.9347444902845315;5;11
We have invested record funding in protecting our environment;0.0;-1;0;7
$2.4 million of the NIH dollars was spent on origami condoms;0.75;1.0;1;9
Says Sen. Sherrod Brown voted to keep an extreme job-killing Internal Revenue Service paperwork mandate;0.25;0.0030798775908502662;6;13
Half of illegal immigrants come on legal visas and then overstay;0.75;1.0;1;9
Girl Scouts USAs curriculum promotes Margaret Sanger founder of Planned Parenthood Betty Friedan founder of NARAL Prochoice and other pro-abortion women as icons for our children to emulate;0.0;0.0;1;26
Since 1988 Congress has raised its own salary 15 times to reflect rising costs. But raised the minimum wage only three times;0.25;1.0;2;20
The Alternative Minimum Tax was never intended to hit people in middle income upper middle income. It was meant for people who are rich and evading taxes;1.0;0.9272990463689331;3;25
AIDS was transmitted to humans because one guy had sex with a monkey and then started having sex with men;0.0;0.9816314571682861;2;18
Says 6 percent more Republicans across the state voted than Democrats;0.5;0.0;1;9
Blocking travel from countries with Ebola should be possible because President Barack Obama has sealed off Israel in the past;0.25;0.009369984150547461;5;18
The average homeowner spends more than $2000 each year on energy costs more than on either real estate taxes or homeowners insurance;1.0;0.947436680549142;5;20
Ohioans can expect to pay up to 41 percent more for their insurance premiums when Obamacare takes effect next year;0.5;1.0;1;18
Georgia has had the nations busiest Court of Appeals for a decade or more;0.5;0.0008538062914658084;4;12
94 percent of those that are employed by the Department of Education at the federal level were deemed by the department as nonessential employees;0.25;0.9549350332934796;9;22
With recent growth it is very clear that private-sector jobs have been doing fine;0.25;0.9886814717481954;2;12
North Dakotas economy is reeling;0.0;-1;0;3
Says residents of Texas and San Antonio can be fired or denied jobs because they are gay;0.5;0.021453410365381842;5;15
Says Hillary Clinton is wrong to say he mocked a disabled reporter;0.0;0.0027162921972864185;5;10
Says many local governments in Wisconsin already require employees to pay 20 percent 30 percent or even 40 percent of their health insurance premiums;0.0;0.09048310507020318;10;22
The failings in our civil service are encouraged by a system that makes it very difficult to fire someone even for gross misconduct;0.75;0.0;1;21
Mary Burkes company Trek Bicycles makes 99% of their bikes overseas;0.75;-1;0;9
Says as Indiana governor he has made record investments in education;0.5;-1;0;9
President Barack Obamas spending drove us $5 trillion deeper in debt;0.5;0.029219963919653535;2;9
Casey Weinstein: No faith in our military When some of our cadets wanted to watch a religious film Casey Weinstein sued the U.S. military. Sued our soldiers;0.25;0.0006240755668783793;2;25
Today the Social Security system is broke;0.0;0.9929840108917578;3;5
Says she has quadrupled agents to secure our border;0.25;0.0022511855120275204;3;7
Says Julie Parrish wants to add a sales tax to everything we need to buy including food clothing medicine and school supplies;0.25;0.9816314571682861;2;20
Says gubernatorial candidate Clay Pell hasnt spent a dime on advertising;0.0;-1;0;9
Poverty among Americans 65 and over is statistically unchanged in recent years because of Social Security;0.75;0.0;2;14
The Affordable Care Act is making families pay double-digit premium increases;0.5;0.0036996430240303635;3;9
Says that over the last decade the states population grew three times faster than the Texas state tax system;0.75;0.078124639448928;12;17
Many uninsured Americans are young;0.75;-1;0;3
