text;ground_truth;found;phrases_found;out_of
The city of Clarkston cant decriminalize marijuana. Only state legislators and Congress can do that;1.0;0.770473681037928;8;14
I fought to bring about the largest private-sector infrastructure project in North American history;0.5;0.06288526244871384;11;13
Two years ago motorists in Ferguson a city of 20000 people received 31000 citations. Thats at least one citation per person plus 10000 for visitors. The city is still surviving only on traffic tickets;0.25;0.6417773833146957;11;33
Californias proposed tobacco tax diverts 82 percent of the new taxes to line the pockets of wealthy special interests like insurance companies who dont have to help even one more patient;0.25;0.17466908509996604;17;30
A Democratic poll operation shows that Fox News is the most trusted news operation in the country;1.0;0.2839452592900005;9;16
If you care about the environment weve got record funding;0.0;0.8484160151547512;6;9
It was Rob Portmans job to stop Chinas illegal dumping of steel. He failed looked the other way did nothing;0.0;0.15265361138282763;9;19
After Arizona banned smoking in all public places in 2007 admissions for acute myocardial infarction stroke asthma and angina decreased following the implementation of the ban;0.5;0.1853375254881614;7;25
Says Mitt Romney has flip-flopped on abortion rights;1.0;0.9201687219013344;7;7
A black male baby born today if we do not change the system stands a one-in-three chance of ending up in jail;0.75;0.8577625831996556;12;21
Joe Straus is the first Jewish speaker of the Texas House;0.75;0.4619833034680525;7;10
Fox News said the New Black Panther Party decided the election for Barack Obama;0.0;0.004343641938423404;10;13
We have provided at least 16 tax cuts to small businesses;0.75;0.18533752548816151;7;10
Says Charlie Bass supports Paul Ryan plan that forces seniors to pay $6400 a year more for health care so millionaires can pay less in taxes;0.25;0.031043683835743074;14;25
Says Donald Trump is a guy who has called for privatization of the Veterans Administration;0.25;0.03642853925287193;13;14
Undocumented workers crossing the border right now is at a 12-year low;0.75;0.770473681037928;8;11
We had 2 percent of the global market for advanced batteries when he Obama started. We now have 16 percent headed to 40 percent by 2015;0.5;0.4438650547563838;14;25
$6 billion water bond program voters passed in 2011 has yet to be tapped;0.75;0.003401770639006929;6;13
Says about 100000 kids in this country leave their home state and go to another state to be educated. Out of that 100000 young people 30000 of them are from New Jersey by far the largest amount;0.5;0.627025280977941;22;36
Obama did accept donations from lobbyists and PACs and he spent money in this campaign from that through his political action committee;1.0;0.2839452592900005;9;21
Says Rick Scott gave a deposition in which he invoked the Fifth Amendment 75 times about his dealings as head of Columbia/HCA hospital chai;0.75;0.4088693220285051;12;23
Immigrants have captured all of the nearly 9 million jobs created since 2000;0.25;0.770473681037928;8;12
The world food demand is going to double sometime between now and 2070;1.0;0.023878554487305803;5;12
Alabamians havent changed their opinion on same-sex marriage since voting to ban it in 2006;0.5;0.00636576330366323;7;14
All Maryland crabs are born in Virginia;0.75;0.13117796889088718;3;6
Says U.S. Sen. Ron Johnson opposes faster broadband internet in small towns and got nearly $90000 in campaign contributions from the telecom special interests;0.5;0.04101124971178349;14;23
Every major study that has been done by a legitimate group shows that there are hundreds of thousands of jobs to be created if you pass our cap-and-trade legislation. And if you wind up pricing carbon;0.0;0.08410618759038291;21;35
Texas legislation would allow teachers to kill their students if they felt it was needed;0.5;0.050193483148706974;6;14
Every poll said I won the debate;0.5;0.023878554487305803;5;6
McCain said the other day that he would not meet potentially with the prime minister of Spain because he wasnt sure whether they were aligned with us;0.75;0.8530127294536811;18;26
Forty percent of the country is going to be in states that are tolerant of gay marriage or at least civil unions;1.0;0.015902277261411024;16;21
