Data:    (DD/MM/AAAA)24/4/2019
Hora:    (HH:MM:SS)15:37:59
Training_File:   ../reports/report2442019153239_1/validation_tab.csv
Validation_File: ../reports/report2442019153239_1/validation_tab.csv
Palavra: SAYS
Palavra: THE
Palavra: ANNIES
Probabilidade: 0.0
Palavra: THE
Palavra: ANNIES
Palavra: LIST
Probabilidade: 0.0
Palavra: ANNIES
Palavra: LIST
Palavra: POLITICAL
Probabilidade: 0.0
Palavra: LIST
Palavra: POLITICAL
Palavra: GROUP
Probabilidade: 0.0
Palavra: POLITICAL
Palavra: GROUP
Palavra: SUPPORTS
Probabilidade: 0.0
Palavra: GROUP
Palavra: SUPPORTS
Palavra: THIRD-TRIMESTER
Probabilidade: 0.0
Palavra: SUPPORTS
Palavra: THIRD-TRIMESTER
Palavra: ABORTIONS
Probabilidade: 0.0
Palavra: THIRD-TRIMESTER
Palavra: ABORTIONS
Palavra: ON
Probabilidade: 0.0
Palavra: ABORTIONS
Palavra: ON
Palavra: DEMAND.
Probabilidade: 0.0
['0', 'Says the Annies List political group supports third-trimester abortions on demand.']
0
0.0
Palavra: WHEN
Palavra: DID
Palavra: THE
Probabilidade: 0.5
Palavra: DID
Palavra: THE
Palavra: DECLINE
Probabilidade: 0.5
Palavra: THE
Palavra: DECLINE
Palavra: OF
Probabilidade: 0.5
Palavra: DECLINE
Palavra: OF
Palavra: COAL
Probabilidade: 0.5
Palavra: OF
Palavra: COAL
Palavra: START?
Probabilidade: 0.5
Palavra: COAL
Palavra: START?
Palavra: IT
Probabilidade: 0.5
Palavra: START?
Palavra: IT
Palavra: STARTED
Probabilidade: 0.5
Palavra: IT
Palavra: STARTED
Palavra: WHEN
Probabilidade: 0.5
Palavra: STARTED
Palavra: WHEN
Palavra: NATURAL
Probabilidade: 0.5
Palavra: WHEN
Palavra: NATURAL
Palavra: GAS
Probabilidade: 0.5
Palavra: NATURAL
Palavra: GAS
Palavra: TOOK
Probabilidade: 0.5
Palavra: GAS
Palavra: TOOK
Palavra: OFF
Probabilidade: 0.5
Palavra: TOOK
Palavra: OFF
Palavra: THAT
Probabilidade: 0.5
Palavra: OFF
Palavra: THAT
Palavra: STARTED
Probabilidade: 0.5
Palavra: THAT
Palavra: STARTED
Palavra: TO
Probabilidade: 0.5
Palavra: STARTED
Palavra: TO
Palavra: BEGIN
Probabilidade: 0.5
Palavra: TO
Palavra: BEGIN
Palavra: IN
Probabilidade: 0.5
Palavra: BEGIN
Palavra: IN
Palavra: (PRESIDENT
Probabilidade: 0.5
Palavra: IN
Palavra: (PRESIDENT
Palavra: GEORGE
Probabilidade: 0.5
Palavra: (PRESIDENT
Palavra: GEORGE
Palavra: W.)
Probabilidade: 0.5
Palavra: GEORGE
Palavra: W.)
Palavra: BUSHS
Probabilidade: 0.5
Palavra: W.)
Palavra: BUSHS
Palavra: ADMINISTRATION.
Probabilidade: 0.5
['0.5', 'When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.']
0.5
0.6666667461395264
Palavra: HILLARY
Palavra: CLINTON
Palavra: AGREES
Probabilidade: 0.75
Palavra: CLINTON
Palavra: AGREES
Palavra: WITH
Probabilidade: 0.75
Palavra: AGREES
Palavra: WITH
Palavra: JOHN
Probabilidade: 0.75
Palavra: WITH
Palavra: JOHN
Palavra: MCCAIN
Probabilidade: 0.75
Palavra: JOHN
Palavra: MCCAIN
Palavra: BY
Probabilidade: 0.75
Palavra: MCCAIN
Palavra: BY
Palavra: VOTING
Probabilidade: 0.75
Palavra: BY
Palavra: VOTING
Palavra: TO
Probabilidade: 0.75
Palavra: VOTING
Palavra: TO
Palavra: GIVE
Probabilidade: 0.75
Palavra: TO
Palavra: GIVE
Palavra: GEORGE
Probabilidade: 0.75
Palavra: GIVE
Palavra: GEORGE
Palavra: BUSH
Probabilidade: 0.75
Palavra: GEORGE
Palavra: BUSH
Palavra: THE
Probabilidade: 0.75
Palavra: BUSH
Palavra: THE
Palavra: BENEFIT
Probabilidade: 0.75
Palavra: THE
Palavra: BENEFIT
Palavra: OF
Probabilidade: 0.75
Palavra: BENEFIT
Palavra: OF
Palavra: THE
Probabilidade: 0.75
Palavra: OF
Palavra: THE
Palavra: DOUBT
Probabilidade: 0.75
Palavra: THE
Palavra: DOUBT
Palavra: ON
Probabilidade: 0.75
Palavra: DOUBT
Palavra: ON
