text;grand_truth;calculated;dif;found phrases;out of
Point Pleasant Beach does not own its beaches;0.75;-1;1.75;0;6
In the past year more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldnt be there.;0.25;0.08348539191872861;0.1665146080812714;4;23
In the last five years 28000 people have been killed along the U.S.-Mexico border.;0;0.16205442522617786;-0.16205442522617786;2;12
The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.;0.25;0.5477315947257022;-0.2977315947257022;3;24
Says Obama health reform law denies millions access to affordable insurance.;0;-1;1.0;0;9
Says HB2 hasnt moved the needle one iota on North Carolinas economy.;0.25;-1;1.25;0;10
Close to 30% of our federal prison population consists of illegal immigrants.;0;-1;1.0;0;10
Says Rick Scott called education not a core function of the state.;0;-1;1.0;0;10
The Family Research Council according to some government agencies is a terrorist group.;0;-1;1.0;0;11
Says Rep. Jim Weidner proposed a bill taking away health care for 80000 of Oregons children.;1;-1;2.0;0;14
Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.;1;1.0;0.0;1;20
Obamacare is the biggest tax increase in American history.;0;1.0;-1.0;3;7
You ... said that Barack Obama was not ready to be commander in chief.;1;0.16205442522617786;0.8379455747738221;2;12
The median male worker in this country has not seen a raise inflation adjusted for 30 years basically.;0.75;1.0;-0.25;3;16
Milwaukee Mayor Tom Barrett has held the line on property taxes.;0.25;-1;1.25;0;9
Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200.;1;0.21890399236457392;0.7810960076354261;5;25
Unlike the gridlock in Washington more than 80 percent of the bills we passed during this General Assembly had bipartisan support.;1;1.0;0.0;2;19
Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.;0;-1;1.0;0;15
Rick Scott took $200000 from a family that leased land for drilling and now he is trying to hide from it.;0.5;1.0;-0.5;1;19
On how money from a possible lease of the Ohio Turnpike would be used;0.5;-1;1.5;0;12
At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade.;0.75;0.12216030999357164;0.6278396900064284;4;40
The president has had 1540 of his nominations confirmed only four defeated.;0.5;-1;1.5;0;10
U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East.;1;1.0;0.0;1;13
Milwaukee County taxpayers paid $370000 to settle a lawsuit over a decision by Sheriff David A. Clarke Jr. to use untrained corrections officers rather than deputies to patrol the lakefront.;0.25;-1;1.25;0;28
There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election.;0.75;0.422449817464257;0.327550182535743;2;19
Democratic presidents have been considerably more effective at creating private-sector jobs.;1;1.0;0.0;1;9
Joe Biden voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq.;1;-1;2.0;0;15
Says Rush Limbaugh made it clear hed rather see the country fail than President Barack Obama succeed.;0.25;1.0;-0.75;1;15
One percent of the American people make over 21 percent of all the income in America. That wasnt the way before George Bush became president.;0.5;0.624262921138096;-0.124262921138096;4;23
Military recruiting went on at Harvard every single day throughout the time Kagan was there.;0.5;-1;1.5;0;13
Says that under Rick Perrys plan Texas has cut funding for public schools by 25%.;0.75;-1;1.75;0;13
Says David Perdue wants to abolish the U.S. Department of Education which would cost Georgia schools $1 billion a year and eliminate millions in student loans.;0.5;0.5010209732734736;-0.0010209732734736132;5;24
The Paul Ryan budget proposal would privatize Medicare.;0.75;1.0;-0.25;2;6
High school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court.;0.75;-1;1.75;0;23
The United States imprisons more than any nation in the world.;0.5;0.41401839882166847;0.08598160117833153;4;9
Says Marco Rubio is the one for an open border.;0;1.0;-1.0;1;8
...Over 30 years federal spending on education has grown by 375 percent but test scores remain flat.;0.75;-1;1.75;0;15
Says cuts to Medicare affect people who have already paid in. We paid for it.;0.25;-1;1.25;0;13
David Alameel is giving thousands of dollars to support the Republican Party candidates including John Cornyn and Greg Abbott.;0.25;1.0;-0.75;1;17
The American healthcare system burns 18 percent of our national GDP. Nobody else is close.;1;1.0;0.0;1;13
Providences port is 200 miles closer to Europe than any other Eastern port.;0;1.0;-1.0;1;11
Says you need a photo ID to purchase Sudafed in Texas.;1;-1;2.0;0;9
Twenty percent of housing in Portlands Pearl District is affordable.;0.75;-1;1.75;0;8
Says allowing the payroll tax holiday to expire would end up costing another estimated 900000 jobs in 2012.;0.75;-1;1.75;0;16
Hillary Clinton supported NAFTA and permanent China trade. Pennsylvania lost thousands of jobs.;0.5;-1;1.5;0;11
Numerous studies have shown that these so-called right-to-work laws do not generate jobs and economic growth.;0.5;-1;1.5;0;14
Obamas budget plan would take national debt up to about 80 percent of gross national product. ... Historically its been about 40 percent.;1;1.0;0.0;1;21
Says Hillary Clinton said the Veterans Affairs scandal is over-exaggerated. She said she was satisfied with what was going on.;0.25;1.0;-0.75;1;18
We now have driven health care costs down to the lowest theyve been in 50 years.;0;1.0;-1.0;1;14
President Barack Obamas initial response when we heard about the Christmas underwear bomber was to say that this was the act of an isolated extremist.;0.5;0.4397680695818508;0.06023193041814923;2;23
Says Sen. Sherrod Brown admitted that his $787 billion stimulus law failed and after specifically attacking Republicans for wanting to lower Americans taxes he now claims that his stimulus bill didnt do enough to lower taxes.;0.5;1.0;-0.5;1;34
In the 1950s A lot of people got rich and they had to pay a top tax rate of 90 percent.;0.75;0.3087937956289891;0.4412062043710109;3;19
The Charleston S.C. shootershould have never been given a gun but the universal background check was not fast enough.;0.75;-1;1.75;0;17
Sixty-five percent of the Iraqi people now say its okay to shoot an American soldier.;0.25;1.0;-0.75;1;13
Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional.;0;0.18370751386507;-0.18370751386507;3;22
Says Gov. Chris Christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years.;0.5;1.0;-0.5;1;23
Warren Buffett still does support me.;1;-1;2.0;0;4
Says George LeMieux was one of two Republicans who voted for President Barack Obamas jobs bill.;1;0.3857752024654255;0.6142247975345745;3;14
A precinct in the Allen West-Patrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted!!!!!;0;-1;1.0;0;19
About 230000 people that were on unemployment when I took office are not on unemployment now.;0.75;0.5075445289662528;0.2424554710337472;2;14
One person Kathleen Sebelius was going to determine whether or not 10-year-old lung patient Sarah Murnaghan would live or die.;0.25;1.0;-0.75;1;18
Ron Klein repeatedly voted in favor of amnesty for illegal immigrants.;0;1.0;-1.0;2;9
Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info.;0;1.0;-1.0;1;17
During his tenure as mayor he saw Houstons crime rates drop to the lowest levels in more than 25 years.;1;0.31723003937304883;0.6827699606269512;5;18
Barack Obamas Columbia University ID says he was a foreign student and went by Barry Soetoro.;0;0.6302041295379296;-0.6302041295379296;2;14
John McCain one of the richest people in a Senate filled with millionaires says the solution to the housing crisis is for people to get a second job and skip their vacations.;0.25;0.12502523819140066;0.12497476180859934;2;30
Terry McAuliffe wants to raise your taxes $1700 to pay for his infinite promises.;0;1.0;-1.0;1;12
Hypocrisy at the Clinton Foundation: Top male staff made on average $218029 while top female staff made $153014 from 2010-2014.;0.5;-1;1.5;0;18
Since the federal Violence Against Women Act was adopted in 1994 cases of domestic violence have fallen by 67 percent.;0.75;-1;1.75;0;18
Says federal law enforcement officers cut off questioning of the Christmas Day underwear bomber by giving him a Miranda warning after 30 minutes of questioning.;0.5;-1;1.5;0;23
On legalizing illegal immigrants.;0.5;-1;1.5;0;2
Nearly half of all pregnancies in the U.S. are unintended.;1;1.0;0.0;1;8
We are borrowing Saudi money for Saudi oil with the result being dependency and debt.;0.5;-1;1.5;0;13
Says there are homes for sale on and around Oswego Lake right now for under $150000 that anyone is welcome to buy.;0.5;-1;1.5;0;20
Since the president became the president we have lost 3.3 million jobs in the private sector. But you know whos done OK and whos not complaining today? The public sector. Weve gained 590000 public sector jobs.;0.5;0.10607020129870981;0.3939297987012902;3;34
The top 1 percent pay over half of the entire revenue for this country.;0;0.4634772482231039;-0.4634772482231039;2;12
The difference over the previous four years between where things were headed and where we brought them to over the last four years is a total of $816 in saved property tax money.;0.25;0.28784690444873495;-0.03784690444873495;3;31
Chris Christie has not increased the taxes on anyone.;0.5;-1;1.5;0;7
The United States does not have a system through which growers and dairies can bring a workforce legally into the U.S.;0.25;1.0;-0.75;1;19
Says he never said he would keep education funding the same.;0;1.0;-1.0;1;9
Since 1978 college tuition nationwide has gone up something like four times the rate of inflation.;1;1.0;0.0;1;14
Says Sen. Rob Portman said It would be irresponsible not to cut Medicare.;0.5;-1;1.5;0;11
Most of if not all of the [DeKalb school construction] projects always came in on or were under budget.;0.75;1.0;-0.25;1;17
Palin supported right-wing extremist Pat Buchanan for president in 2000.;0;1.0;-1.0;1;8
Says Sen. Sherrod Brown voted to block American energy production and increase energy taxes.;0.25;1.0;-0.75;1;12
Says Jeanne Shaheen voted for a measure that would have amounted to a new national energy tax.;0.25;1.0;-0.75;1;15
Washington D.C. had some of the strictest gun laws in the country. And when they passed them violence skyrocketed.;0.5;0.4634772482231039;0.03652275177689612;2;17
Seven presidents before Barack Obama -- Republicans and Democrats -- tried to expand health care to all Americans.;0.75;0.28809193225955254;0.46190806774044746;4;16
While fighting a move to toughen penalties for workplace gender discrimination state Sen. Glenn Grothman said he didnt believe women belonged in the workplace but belonged at home cooking and cleaning and having babies.;0;-1;1.0;0;32
If you put the $47 billion in revenue raised over 10 years by the Buffett rule into infrastructure you could create 611000 infrastructure jobs.;0;1.0;-1.0;1;22
What is the proper collective noun for a group of baboons? Believe it or not . . . a Congress!;0;0.3857752024654255;-0.3857752024654255;3;18
I have repeatedly said that many of the predatory loans that were made in the mortgage system did target African-American and Latino communities.;1;-1;2.0;0;21
Starting in December 2007 1.4 million jobs were created in Texas. In that same period the rest of the country lost 400000 jobs.;0.75;0.35419658322116887;0.39580341677883113;3;21
The health reform legislation which Washington passed last year has made it more difficult to hire because its increased costs for employers.;0.25;-1;1.25;0;20
The CBO the Congressional Budget Office has said that Obamacare will kill 800000 jobs.;0.25;-1;1.25;0;12
Thompson voted against $250000 caps on damages and almost anything that would make our legal system fairer.;0.25;-1;1.25;0;15
Texas this fiscal year will have more money in reserve than the other 49 states combined.;0;1.0;-1.0;1;14
On using the Strategic Petroleum Reserve.;0;-1;1.0;0;4
Immigrants are more fertile.;0.75;1.0;-0.25;1;2
The proposed education changes will not cut one teachers pay.;0.75;-1;1.75;0;8
The number of uninsured people in Massachusetts is about the same as it was when the mandates were passed in 2006.;0;0.5075445289662528;-0.5075445289662528;2;19
Firearms homicides are down about 40 percent since Texas passed concealed-gun permit law.;0.75;-1;1.75;0;11
Upwards of 90 percent of women seeking an abortion decide not to have an abortion after seeing an ultrasound.;0;0.10607020129870981;-0.10607020129870981;3;17
We spend less on defense today as % of GDP than at any time since Pearl Harbor.;0;1.0;-1.0;2;15
If you got rid of the income tax today youd have about as much revenue as we had 10 years ago.;0.75;0.6452963795270412;0.10470362047295878;3;19
Says Scott Walker wants to ban common forms of birth control including the pill.;0.5;1.0;-0.5;1;12
Jason Kander supports [Obamas] plan to bring the remaining suspected terrorists to U.S. soil.;0;-1;1.0;0;12
Shelby County donated Im sorry gave 44 schools to the city of Memphis.;0.5;1.0;-0.5;1;11
Top U.S. intelligence officials have toldevery member of Congress including the president were about to be attacked in a serious way because of the threat emanating from Syria and Iraq.;0.5;1.0;-0.5;1;28
Have the suburbs been inundated with former residents of Atlanta housing projects? Absolutely not.;1;-1;2.0;0;12
In July 1996 Mitt Romney helped locate the missing teenage daughter of a partner at Bain Capital.;1;-1;2.0;0;15
Blames Mike McIntyre and Nancy Pelosi for the second straight year of no cost-of-living increases for Social Security beneficiaries.;0.25;1.0;-0.75;1;17
The government is going to have the right to get into your bank account with the health care bill and make transfers without you knowing it.;0.25;0.2910868106383443;-0.041086810638344295;3;24
There are mechanisms in place to shut down the Internet privately.;0.5;0.12502523819140066;0.37497476180859934;2;9
The American people support defunding Obamacare and oppose shutting down the government.;0.25;1.0;-0.75;1;10
Report that #GOP insisting on changes to Social Security as part of #fiscalcliff 0. BTW those changes are supported by @barackobama.;0.5;-1;1.5;0;19
Nobody has played clips over and over ...of President Obama saying If they bring a knife to the fight well bring a gun.;1;-1;2.0;0;21
The people of Rhode Island dont want same-sex marriage.;0;0.4634772482231039;-0.4634772482231039;2;7
Rep. Paul Ryans Medicare plan lines the pockets of the private insurance companies increases costs for seniors and does not reduce the deficit.;0.5;-1;1.5;0;21
This year in Congress Connie Mack IV has missed almost half of his votes.;0.25;-1;1.25;0;12
1/3 of our kids drop out of high school cannot go to college or start a career.;0.25;0.4634772482231039;-0.21347724822310388;4;15
Not even old Gen. Eisenhower saluted military personnel as president.;0.25;-1;1.25;0;8
If Wisconsins governor cuts perquisites as much as he plans to do it would still leave workers better off than their private sector counterparts.;1;0.3707678532378603;0.6292321467621397;2;22
You cant get on an airplane but more than 2000 people on that list have been able to buy a gun.;0.25;-1;1.25;0;19
74 percent of Republicans support the Affordable Care Act.;0;1.0;-1.0;1;7
For every $1 spent on afterschool programs we can save over $5 almost $6 in crime costs down the line.;0.5;-1;1.5;0;18
The federal government has $3 trillion in cash flow so we can pay our bills and wont default.;0.5;1.0;-0.5;1;16
Says Alex Sink failed Florida homeowners by using predatory lending practices.;0;-1;1.0;0;9
Over 40 percent of small and mid-size banks that loan money to small businesses have been wiped out since Dodd-Frank has passed.;0.25;1.0;-0.75;1;20
You cant check out a library book without a photo ID.;0.25;1.0;-0.75;1;9
Says that Starbucks took Christmas off of their brand new cups.;0;-1;1.0;0;9
Atmospheric conditions could push a footballs pressure down approximately one-and-a-half pounds per square inch.;0.75;-1;1.75;0;12
Hillary Clinton supports unlimited abortion on demand up until the moment of birth including partial-birth abortion with taxpayer funding.;0;-1;1.0;0;17
Under legislation that has cleared the Georgia House some children who are legal refugees could obtain state scholarships to attend private schools.;1;-1;2.0;0;20
We went from losing 3 million jobs in the last six months of the Bush Administration adding almost 600000 private sector jobs in the first six months of the year.;0.75;0.5168219140042359;0.23317808599576406;12;28
The STAR Ohio fund just received the highest possible credit rating one of these funds can receive.;0.5;-1;1.5;0;15
Taxpayers are on the hook ... for less than a third of the proposed new Atlanta Falcons stadium and those funds are repaid from money that comes from outsiders.;0.5;1.0;-0.5;1;27
In the last 22 months businesses have created more than 3 million jobs. Last year they created the most jobs since 2005.;0.75;1.0;-0.25;2;20
