Data:    (DD/MM/AAAA)18/5/2019
Hora:    (HH:MM:SS)19:16:12
Training_File:   ../reports/report1852019191557_2/training_tab.csv
Validation_File: ../reports/report1852019191557_2/validation_tab.csv
Palavra: POINT
Palavra: PLEASANT
Palavra: BEACH
Probabilidade: 0.5
Alfa: 1
Palavra: PLEASANT
Palavra: BEACH
Palavra: DOES
Probabilidade: 0.5
Alfa: 1
Palavra: BEACH
Palavra: DOES
Palavra: NOT
Probabilidade: 0.5
Alfa: 1
Palavra: DOES
Palavra: NOT
Palavra: OWN
Probabilidade: 0.5
Alfa: 1
Palavra: NOT
Palavra: OWN
Palavra: ITS
Probabilidade: 0.5
Alfa: 1
Palavra: OWN
Palavra: ITS
Palavra: BEACHES
Probabilidade: 0.5
Alfa: 1
['0.75', 'Point Pleasant Beach does not own its beaches']
Probabilidade do texto:  0.75
Probabilidade calculada: 0.671875
Palavra: IN
Palavra: THE
Palavra: PAST
Probabilidade: 0.0
Alfa: 1
Palavra: THE
Palavra: PAST
Palavra: YEAR
Probabilidade: 0.5
Alfa: 1
Palavra: PAST
Palavra: YEAR
Palavra: MORE
Probabilidade: 0.5
Alfa: 1
Palavra: YEAR
Palavra: MORE
Palavra: THAN
Probabilidade: 0.5
Alfa: 1
Palavra: MORE
Palavra: THAN
Palavra: 20
Probabilidade: 0.0
Alfa: 1
Palavra: THAN
Palavra: 20
Palavra: PERCENT
Probabilidade: 0.5
Alfa: 1
Palavra: 20
Palavra: PERCENT
Palavra: OF
Probabilidade: 0.5
Alfa: 1
Palavra: PERCENT
Palavra: OF
Palavra: AMERICANS
Probabilidade: 0.0
Alfa: 1
Palavra: OF
Palavra: AMERICANS
Palavra: HAVE
Probabilidade: 0.5
Alfa: 1
Palavra: AMERICANS
Palavra: HAVE
Palavra: CHANGED
Probabilidade: 0.5
Alfa: 1
Palavra: HAVE
Palavra: CHANGED
Palavra: THEIR
Probabilidade: 0.5
Alfa: 1
Palavra: CHANGED
Palavra: THEIR
Palavra: MIND
Probabilidade: 0.5
Alfa: 1
Palavra: THEIR
Palavra: MIND
Palavra: ABOUT
Probabilidade: 0.5
Alfa: 1
Palavra: MIND
Palavra: ABOUT
Palavra: THE
Probabilidade: 0.5
Alfa: 1
Palavra: ABOUT
Palavra: THE
Palavra: WAR
Probabilidade: 0.5
Alfa: 1
Palavra: THE
Palavra: WAR
Palavra: IN
Probabilidade: 0.5
Alfa: 1
Palavra: WAR
Palavra: IN
Palavra: AFGHANISTAN.
Probabilidade: 0.5
Alfa: 1
Palavra: IN
Palavra: AFGHANISTAN.
Palavra: THEY
Probabilidade: 0.5
Alfa: 1
Palavra: AFGHANISTAN.
Palavra: THEY
Palavra: CONCLUDE
Probabilidade: 0.5
Alfa: 1
Palavra: THEY
Palavra: CONCLUDE
Palavra: WE
Probabilidade: 0.5
Alfa: 1
Palavra: CONCLUDE
Palavra: WE
Palavra: SHOULDNT
Probabilidade: 0.5
Alfa: 1
Palavra: WE
Palavra: SHOULDNT
Palavra: BE
Probabilidade: 0.5
Alfa: 1
Palavra: SHOULDNT
Palavra: BE
Palavra: THERE.
Probabilidade: 0.5
Alfa: 1
['0.25', 'In the past year more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldnt be there.']
Probabilidade do texto:  0.25
Probabilidade calculada: 0.6666736602783203
Palavra: IN
Palavra: THE
Palavra: LAST
Probabilidade: 0.5833333333333334
Alfa: 1
Palavra: THE
Palavra: LAST
Palavra: FIVE
Probabilidade: 0.5
Alfa: 1
Palavra: LAST
Palavra: FIVE
Palavra: YEARS
Probabilidade: 0.5
Alfa: 1
Palavra: FIVE
Palavra: YEARS
Palavra: 28000
Probabilidade: 0.5
Alfa: 1
Palavra: YEARS
Palavra: 28000
Palavra: PEOPLE
Probabilidade: 0.5
Alfa: 1
Palavra: 28000
Palavra: PEOPLE
Palavra: HAVE
Probabilidade: 0.5
Alfa: 1
Palavra: PEOPLE
Palavra: HAVE
Palavra: BEEN
Probabilidade: 0.5
Alfa: 1
Palavra: HAVE
Palavra: BEEN
Palavra: KILLED
Probabilidade: 0.5
Alfa: 1
Palavra: BEEN
Palavra: KILLED
Palavra: ALONG
Probabilidade: 0.5
Alfa: 1
Palavra: KILLED
Palavra: ALONG
Palavra: THE
Probabilidade: 0.5
Alfa: 1
Palavra: ALONG
Palavra: THE
Palavra: U.S.-MEXICO
Probabilidade: 0.5
Alfa: 1
Palavra: THE
Palavra: U.S.-MEXICO
Palavra: BORDER.
Probabilidade: 0.0
Alfa: 1
['0', 'In the last five years 28000 people have been killed along the U.S.-Mexico border.']
Probabilidade do texto:  0
Probabilidade calculada: 0.33341471354166663
Palavra: THE
Palavra: STATE
Palavra: OF
Probabilidade: 0.75
Alfa: 1
Palavra: STATE
Palavra: OF
Palavra: OHIO
Probabilidade: 0.5
Alfa: 1
Palavra: OF
Palavra: OHIO
Palavra: HAS
Probabilidade: 0.5
Alfa: 1
Palavra: OHIO
Palavra: HAS
Palavra: ONE
Probabilidade: 0.5
Alfa: 1
Palavra: HAS
Palavra: ONE
Palavra: OF
Probabilidade: 0.5
Alfa: 1
Palavra: ONE
Palavra: OF
Palavra: THE
Probabilidade: 0.2727272727272727
Alfa: 1
Palavra: OF
Palavra: THE
Palavra: LOWEST
Probabilidade: 0.5
Alfa: 1
Palavra: THE
Palavra: LOWEST
Palavra: UNEMPLOYMENT
Probabilidade: 0.5
Alfa: 1
Palavra: LOWEST
Palavra: UNEMPLOYMENT
Palavra: RATES
Probabilidade: 0.5
Alfa: 1
Palavra: UNEMPLOYMENT
Palavra: RATES
Palavra: IN
Probabilidade: 0.5
Alfa: 1
Palavra: RATES
Palavra: IN
Palavra: THE
Probabilidade: 0.5
Alfa: 1
Palavra: IN
Palavra: THE
Palavra: NATION
Probabilidade: 0.625
Alfa: 1
Palavra: THE
Palavra: NATION
Palavra: RIGHT
Probabilidade: 0.5
Alfa: 1
Palavra: NATION
Palavra: RIGHT
Palavra: NOW
Probabilidade: 0.5
Alfa: 1
Palavra: RIGHT
Palavra: NOW
Palavra: AND
Probabilidade: 0.5
Alfa: 1
Palavra: NOW
Palavra: AND
Palavra: IS
Probabilidade: 0.5
Alfa: 1
Palavra: AND
Palavra: IS
Palavra: LEADING
Probabilidade: 0.5
Alfa: 1
Palavra: IS
Palavra: LEADING
Palavra: THE
Probabilidade: 0.5
Alfa: 1
Palavra: LEADING
Palavra: THE
Palavra: PACK
Probabilidade: 0.5
Alfa: 1
Palavra: THE
Palavra: PACK
Palavra: IN
Probabilidade: 0.5
Alfa: 1
Palavra: PACK
Palavra: IN
Palavra: TERMS
Probabilidade: 0.5
Alfa: 1
Palavra: IN
Palavra: TERMS
Palavra: OF
Probabilidade: 0.5
Alfa: 1
Palavra: TERMS
Palavra: OF
Palavra: JOB
Probabilidade: 0.5
Alfa: 1
Palavra: OF
Palavra: JOB
Palavra: CREATION.
Probabilidade: 0.5
Alfa: 1
['0.25', 'The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.']
Probabilidade do texto:  0.25
Probabilidade calculada: 0.6666865673932162
Palavra: SAYS
Palavra: OBAMA
Palavra: HEALTH
Probabilidade: 0.5
Alfa: 1
Palavra: OBAMA
Palavra: HEALTH
Palavra: REFORM
Probabilidade: 0.5
Alfa: 1
Palavra: HEALTH
Palavra: REFORM
Palavra: LAW
Probabilidade: 0.5
Alfa: 1
Palavra: REFORM
Palavra: LAW
Palavra: DENIES
Probabilidade: 0.5
Alfa: 1
Palavra: LAW
Palavra: DENIES
Palavra: MILLIONS
Probabilidade: 0.5
Alfa: 1
Palavra: DENIES
Palavra: MILLIONS
Palavra: ACCESS
Probabilidade: 0.5
Alfa: 1
Palavra: MILLIONS
Palavra: ACCESS
Palavra: TO
Probabilidade: 0.5
Alfa: 1
Palavra: ACCESS
Palavra: TO
Palavra: AFFORDABLE
Probabilidade: 0.5
