text;grand_truth;calculated;dif;found phrases;out of
The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.;0;1.0;-1.0;1;23
The Atlanta streetcar is expected to create 930 jobs during construction totaling more than 5600 jobs over the next 20 years.;0;1.0;-1.0;1;19
Raising the minimum wage to $10.10 an hour would help lift over a million Americans out of poverty.;0.75;-1;1.75;0;16
Says Secretary of State John Kerry when he was a senator flew to Managua and met with a communist dictator there Daniel Ortega and accused the Reagan administration of engaging in terrorism.;0.75;1.0;-0.25;1;30
NATO is opening up a major terror division. ... Im sure Im not going to get credit for it but that was largely because of what I was saying and my criticism of NATO.;0;-1;1.0;0;32
Sen. Obama has always had a 100 percent prochoice rating.;1;-1;2.0;0;8
Since Gina Raimondo took office investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.;0.5;-1;1.5;0;22
The federal debt is growing by more than $4 billion a day.;1;1.0;0.0;1;10
Under President Barack Obamas jobs bill states would no longer have to lay off teachers firefighters and police officers.;0.5;0.6257109695004381;-0.12571096950043814;2;17
Of our 98000 teachers who are K-12 over 53000 of those teachers today are over 50 years old.;0;-1;1.0;0;16
Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.;0.75;-1;1.75;0;17
Under President Obamas health-care reforms the premium for an average plan for a family didnt go down by $2500 per year its gone up about $2500 per year.;0.5;-1;1.5;0;26
The IRS also investigated liberal groups groups that had progressive in their name. ... The IRS was basically looking at everybody.;0.5;-1;1.5;0;19
Says Obama promised unemployment would never go above 8 percent.;0.25;-1;1.25;0;8
The economy is creating jobs at the fastest pace since 1999.;1;-1;2.0;0;9
President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.;0.75;-1;1.75;0;12
In a majority of states you can now marry freely but can still be fired for who you love.;0.75;-1;1.75;0;17
Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.;0;0.12279755196321307;-0.12279755196321307;8;16
Rudy Giuliani is probably the most underqualified man since George Bush to seek the presidency.;0;-1;1.0;0;13
About half of the presidents have been governors;0;0.42300081876127305;-0.42300081876127305;2;6
After Britains vote to leave the European Union within 24 hours Americans lost $100 billion from our 401ks.;0.75;-1;1.75;0;16
Medicaid spending declined by 1.9 percent in 2012 the second such decline in 47 years.;0.75;-1;1.75;0;13
Says 88 Texas constables have died in the line of duty.;1;-1;2.0;0;9
Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20000.;0.75;1.0;-0.25;1;11
The city of Columbus would save $41 million a year if employees had to contribute to their own guaranteed-check pensions.;0.75;1.0;-0.25;1;18
As Floridas CFO I shut down Krakows scam and refunded more than $1.2 million to Josephine and other victims of this con man.;1;-1;2.0;0;21
You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.;0.75;-1;1.75;0;18
The Air Force wants taxpayers to fund a fantasy football league.;0;-1;1.0;0;9
Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.;0;-1;1.0;0;13
About 3 percent of murders and crimes are committed with guns from people who actually legally purchase those guns.;0.5;-1;1.5;0;17
Some neighborhood schools are closing.;0.75;-1;1.75;0;3
He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.;0.75;1.0;-0.25;1;17
The years that I was speaker the Florida House consistently offered leaner budgets than the governor offered.;0.75;1.0;-0.25;1;15
We are already almost halfway to our 2010 goal of creating 700000 new jobs in seven years.;0.25;-1;1.25;0;15
Says the U.S. Supreme Court found that Social Security is not guaranteed.;1;1.0;0.0;2;10
SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.;0;-1;1.0;0;12
Oregonians have an amazing no-cost way to fight abortion with free political donations;1;-1;2.0;0;11
The president said hes going to bring in 250000 Syrian and Iraqi refugees into this country.;0;-1;1.0;0;14
Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity and thats what they support.;0.25;-1;1.25;0;25
Newt Gingrichs immigration plan offers a new doorway to amnesty.;0.75;-1;1.75;0;8
Mr. Caprio is a career politician who has never worked in the private sector.;0;1.0;-1.0;2;12
In Rhode Island 9 percent of workers use the states temporary disability insurance program each year while in New Jersey the rate is only 3 percent.;0.25;1.0;-0.75;1;24
In just 17 years spending for Social Security federal health care and interest on the debt will exceed ALL tax revenue!;0.75;1.0;-0.25;1;19
President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.;0.75;-1;1.75;0;14
Donald Trump has said nuclear proliferation is OK.;0.5;-1;1.5;0;6
Hillary Clinton has taken over $800000 from lobbyists.;1;-1;2.0;0;6
Barack Obama has never even worked in business.;0;-1;1.0;0;6
Says the Arizona immigration law expressly bans racial profiling.;0.5;1.0;-0.5;1;7
Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.;0;0.26065451761890956;-0.26065451761890956;4;22
On the VA: Over 300000 veterans have died waiting for care.;0.25;-1;1.25;0;9
Were now spending 42 percent of our economy on government.;0.75;1.0;-0.25;1;8
Rob Cornilles supports privatizing Medicare.;0.25;-1;1.25;0;3
In 2005 Dan Branch tried to expand third-trimester abortions in Texas.;0;1.0;-1.0;1;9
We Democrats have made steady progress creating jobs and improving our schools.;0.5;-1;1.5;0;10
Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.;0;1.0;-1.0;1;24
Whether you like to admit it or not half our general revenue goes to education.;1;1.0;0.0;1;13
Im the only one whos fought against developers draining the Everglades!;0;1.0;-1.0;1;9
Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.;0.5;-1;1.5;0;13
There are 31 other states and 10000 other cities that have the same type of policies that we just passed referring to North Carolinas House Bill 2.;0.5;-1;1.5;0;25
Climate change is directly related to the growth of terrorism.;0.25;-1;1.25;0;8
The jobs bill includes President Obamas tax on soup kitchens;0.25;-1;1.25;0;8
Says the Obama administration spent taxpayer dollars on electric cars in Finland and windmills in China.;0.25;1.0;-0.75;1;14
While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed.;0.5;-1;1.5;0;29
If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50 the city would have 23 different bicycle violations that have a higher forfeiture.;0.5;-1;1.5;0;23
We have more illegal immigrants here than we did five years ago.;0;-1;1.0;0;10
Says Rick Perry wrote a letter supporting Hillarycare.;0.25;-1;1.25;0;6
The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.;0;-1;1.0;0;12
The presidents health care proposals will cause most Americans to have their premiums increased not decreased and hundreds of millions of people lose their current insurance coverage.;0;-1;1.0;0;25
Mexican immigrants are more law-abiding than U.S. citizens and that is a statistic.;0.75;1.0;-0.25;1;11
Says Chris Christie vetoed a jobs package of 30 bills.;0.5;-1;1.5;0;8
There are already more American jobs in the solar industry than in coal mining.;1;1.0;0.0;1;12
Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.;0.5;-1;1.5;0;25
Barack Obama is in an economy thats only worsened since hes been president of the United States.;0.5;1.0;-0.5;2;15
Romney failed to take action against sanctuary cities in Massachusetts.;0.75;1.0;-0.25;1;8
Says New Jersey is down nearly 200000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.;0.5;0.6257109695004381;-0.12571096950043814;2;32
Says Thomas Eric Duncan came into the United States with an elevated temperature.;0;1.0;-1.0;1;11
We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history.;0.75;-1;1.75;0;20
Gas prices have gone up $2 since Obama took office.;0.5;-1;1.5;0;8
Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.;1;-1;2.0;0;15
Says judges get better benefits at a lower cost than everybody else in the state.;1;-1;2.0;0;13
There are a lot of casinos across the country that have gone bankrupt.;1;1.0;0.0;1;11
Small businesses create 70 percent of the jobs in America.;1;1.0;0.0;2;8
Seniors with coverage under Medicare Advantage will give up more than their share because of health care reform;0.5;0.3989250859874768;0.10107491401252322;2;16
Over 12000 school kids were arrested in Florida. It makes Florida the nations leader in that area.;0.5;-1;1.5;0;15
If Texas were a country our economy would rank # 10...in the WORLD.;0.75;1.0;-0.25;1;11
There are more oil rigs in operation in the United States than the rest of the world combined.;0;0.47048515664913126;-0.47048515664913126;6;16
Payday lenders profit from the poor by charging 1000-plus percent interest.;0.5;-1;1.5;0;9
The Social Security trust fund is sound. Without anything being done it would function well into 2038;0.5;-1;1.5;0;15
It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday.;0.75;-1;1.75;0;28
The Obama administration shut down the Amber Alert program because of the government shutdown.;0;0.31349300563898286;-0.31349300563898286;4;12
The Republicans have 2 percent of the Muslim vote.;0.75;0.3989250859874768;0.3510749140125232;2;7
[W]e see Americas prison population exploding with America having a greater percentage of its people behind bars than any other nation in the world!;0.75;0.1172469866530238;0.6327530133469762;2;22
Says that in a hearing Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods like stabbing or clubbing enemy forces in order to minimize the carbon output.;0;0.42300081876127305;-0.42300081876127305;2;35
