text;ground_truth;found;phrases_found;out_of
Says Bernie Sanders voted for what we call the Charleston Loophole;0.75;0.910824664211007;4;9
We dont have any chess grandmasters in the United States;0.0;0.35957515364923753;4;8
Obamas plan for health care reform ends exorbitant out-of-pocket expenses deductibles or co-pays;0.75;0.06810278974304973;2;11
The No. 1 cause of childhood deaths is preventable accidents;0.75;1.0;3;8
Jeff Atwaters bank was so weak that just a few months ago it was shut down by the FDIC;0.5;0.024488071085798757;4;17
As long as I have served This is the first time every single solitary decision has required 60 senators;0.0;0.06810278974304973;4;17
The State of Texas does not even use the E-Verify system to determine if someone is legally in our country when they apply for a job;1.0;0.8242317349523417;8;24
57% of the jobs created in Austin from 2009 to 2013 do not pay families a living wage;0.75;0.32788358816263674;4;16
Says Texas General Land Office has earned the school children of Texas $451932.89 on wind leases that havent produced a watt of energy;1.0;1.0;2;21
We are within the margin of error;0.5;0.06810278974304973;2;5
State support for local schools per pupil has decreased by at least 25 percent over the past decade;0.5;0.11668174992202329;6;16
Each Corbett administration budget finished in the black;0.5;-1;0;6
Says Hillary Clinton promised running for the Senate years ago 200000 jobs for upstate New York. Not only didnt they come but they lost so many jobs;0.75;0.06810278974304973;2;25
A couple of hundred American cities are infested by members of the Mexican cartels;1.0;0.5068644942135938;3;12
Barack Obamas health care plan is to mandate health care coverage and have a universal government-run program;0.25;0.007595766426050199;9;15
Hollywood is 1 in Broward homicides in 2013. Thanks Chief Fernandez;0.5;1.0;1;9
50 percentof murders in Texas have been linked to illegal aliens;0.0;0.005792623310811429;2;9
Paul Ryan cut embassy security in his budget by $300 million below what we asked for;0.5;0.0;1;14
Among Syrian refugees and migrants coming into Europe there look like very few women. Very few children;0.0;0.08505706348692699;2;15
Ponzi schemer Scott Rothstein gave hundreds of thousands of campaign cash to control Crists appointments of key state judges;0.5;0.23654877881217407;3;17
Senator Robert Hurt voted for a bill thats raised your electric rates seven times;0.0;0.0;1;12
Since 2004 there have been some 1300 attacks on rail targets. Four thousand people have died. Thousands of injuries;0.25;0.7013776033366;2;17
Says Donald Trump said a woman should be punished for exercising her right to choose;0.5;0.9671367832120615;3;13
Senator Chris Dodd chairman of the Senate Banking Committee placed an amendment in the stimulus bill that allowed for banks bailed out with taxpayer money including AIG to hand out huge bonuses;0.5;0.10862310939528341;6;30
Says legislative debate of airport pat-down procedures initiated federal changes in security procedures;0.0;-1;0;11
Says Hillary Clinton aide Huma Abedin has ties to the Muslim Brotherhood;0.0;0.0;2;10
Decorated Marine two-tour Iraq war vet;1.0;-1;0;4
If you make more than $250000 a year you only really take home about $125000;0.0;0.06810278974304973;4;13
Says Donald Trump said the U.S. should encourage Japan to get nuclear weapons;0.75;0.028676616117323972;5;11
We have the highest rate of childhood poverty of any major country on Earth;0.25;0.489941327016464;11;12
The Doherty Campaign unlike the Cicilline Campaign is funded mostly by individual donors  not the big PACs that Cicilline relies on;0.0;-1;0;19
Since parole abolition Virginias crime rate has fallen to third lowest in the country our recidivism rate is down 20 percent and thats the second lowest in the country;0.75;0.37070541967678583;8;27
When you were casting your vote for Republicans Brian Kemp was voting for Democrats.	message-machinevoting-record	doug-macginnitie	Sandy Springs City Councilman	Georgia	republican	1	1	0	0	0	a campaign commercia;0.25;1.0;2;28
I want to give every American a $5000 refundable tax credit;0.5;0.23654877881217407;3;9
Says Hillary Clinton plans to massively increase admissions of Middle East refugees including a 500 percent increase in Syrian refugees coming into our country;0.75;0.10060414540766704;8;22
If you look at the jobs lost in the private sector as opposed to the job gains in the public sector its out of whack. The governments growing and the private economys shrinking;0.5;0.5968649503972486;11;31
The president and vice president cant be from the same state;0.0;0.005792623310811429;2;9
There are actual cities like Birmingham England that are totally Muslim where non-Muslims just simply dont go in;0.0;-1;0;16
Says 40 years ago the U.S. placed Texas under Voting Rights Act for failing to print ballots in Spanish;0.5;0.1626422515952688;5;17
I campaigned on the proposals in the budget repair bill for Wisconsin all throughout the election. Anybody who says they are shocked on this has been asleep for the past two years;0.0;0.7013776033366;4;30
When I was mayor Providence was one of the five renaissance cities of America according to USA Today in those days. Money magazine said it was the fifth best city to live in in America. In addition to that All Cities Almanac said in 1994 I believe that it was the safest city in America;1.0;0.4924787195483562;11;53
