text;ground_truth;found;phrases_found;out_of
The city of Clarkston cant decriminalize marijuana. Only state legislators and Congress can do that;1.0;1.0;2;13
I fought to bring about the largest private-sector infrastructure project in North American history;0.5;0.9457042695546198;2;12
Two years ago motorists in Ferguson a city of 20000 people received 31000 citations. Thats at least one citation per person plus 10000 for visitors. The city is still surviving only on traffic tickets;0.25;0.0;2;32
Californias proposed tobacco tax diverts 82 percent of the new taxes to line the pockets of wealthy special interests like insurance companies who dont have to help even one more patient;0.25;0.24610421339529998;8;29
A Democratic poll operation shows that Fox News is the most trusted news operation in the country;1.0;0.04877727972846024;4;15
If you care about the environment weve got record funding;0.0;-1;0;8
It was Rob Portmans job to stop Chinas illegal dumping of steel. He failed looked the other way did nothing;0.0;1.0;1;18
After Arizona banned smoking in all public places in 2007 admissions for acute myocardial infarction stroke asthma and angina decreased following the implementation of the ban;0.5;-1;0;24
Says Mitt Romney has flip-flopped on abortion rights;1.0;0.9645121358174;5;6
A black male baby born today if we do not change the system stands a one-in-three chance of ending up in jail;0.75;0.12281639809743616;3;20
Joe Straus is the first Jewish speaker of the Texas House;0.75;0.02490523440584691;4;9
Fox News said the New Black Panther Party decided the election for Barack Obama;0.0;0.0;5;12
We have provided at least 16 tax cuts to small businesses;0.75;0.02490523440584691;2;9
Says Charlie Bass supports Paul Ryan plan that forces seniors to pay $6400 a year more for health care so millionaires can pay less in taxes;0.25;0.21597350429060924;4;24
Says Donald Trump is a guy who has called for privatization of the Veterans Administration;0.25;0.04649707313973195;6;13
Undocumented workers crossing the border right now is at a 12-year low;0.75;0.0006908187100678198;2;10
We had 2 percent of the global market for advanced batteries when he Obama started. We now have 16 percent headed to 40 percent by 2015;0.5;0.3153418450972145;5;24
$6 billion water bond program voters passed in 2011 has yet to be tapped;0.75;0.0;1;12
Says about 100000 kids in this country leave their home state and go to another state to be educated. Out of that 100000 young people 30000 of them are from New Jersey by far the largest amount;0.5;0.9457042695546198;4;35
Obama did accept donations from lobbyists and PACs and he spent money in this campaign from that through his political action committee;1.0;1.0;1;20
Says Rick Scott gave a deposition in which he invoked the Fifth Amendment 75 times about his dealings as head of Columbia/HCA hospital chai;0.75;0.11531615643155446;3;22
Immigrants have captured all of the nearly 9 million jobs created since 2000;0.25;0.9970519736554027;4;11
The world food demand is going to double sometime between now and 2070;1.0;0.0;1;11
Alabamians havent changed their opinion on same-sex marriage since voting to ban it in 2006;0.5;0.0;1;13
All Maryland crabs are born in Virginia;0.75;1.0;1;5
Says U.S. Sen. Ron Johnson opposes faster broadband internet in small towns and got nearly $90000 in campaign contributions from the telecom special interests;0.5;0.07503567384854193;7;22
Every major study that has been done by a legitimate group shows that there are hundreds of thousands of jobs to be created if you pass our cap-and-trade legislation. And if you wind up pricing carbon;0.0;0.06578416611958149;5;34
Texas legislation would allow teachers to kill their students if they felt it was needed;0.5;-1;0;13
Every poll said I won the debate;0.5;0.0;1;5
McCain said the other day that he would not meet potentially with the prime minister of Spain because he wasnt sure whether they were aligned with us;0.75;0.9973398297097352;6;25
Forty percent of the country is going to be in states that are tolerant of gay marriage or at least civil unions;1.0;0.0817654318218789;8;20
The president is advocating a drone strike program in America;0.0;-1;0;8
