text;grand_truth;calculated;dif;found phrases;out of
Says the Annies List political group supports third-trimester abortions on demand.;0;-1;1.0;0;9
When did the decline of coal start? It started when natural gas took off that started to begin in President George W. Bushs administration.;0.5;-1;1.5;0;22
Hillary Clinton agrees with John McCain by voting to give George Bush the benefit of the doubt on Iran.;0.75;-1;1.75;0;17
Health care reform legislation is likely to mandate free sex change surgeries.;0;1.0;-1.0;1;10
The economic turnaround started at the end of my term.;0.5;1.0;-0.5;1;8
The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured UW faculty fired during the last two decades.;1;-1;2.0;0;25
Jim Dunnam has not lived in the district he represents for years now.;0.25;-1;1.25;0;11
Im the only person on this stage who has worked actively just last year passing along with Russ Feingold some of the toughest ethics reform since Watergate.;0.5;1.0;-0.5;1;25
However it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.;0.5;-1;1.5;0;21
Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.;0.75;-1;1.75;0;19
For the first time in history the share of the national popular vote margin is smaller than the Latino vote margin.;0.75;-1;1.75;0;19
Since 2000 nearly 12 million Americans have slipped out of the middle class and into poverty.;0.5;-1;1.5;0;14
When Mitt Romney was governor of Massachusetts we didnt just slow the rate of growth of our government we actually cut it.;0;-1;1.0;0;20
The economy bled $24 billion due to the government shutdown.;0.75;1.0;-0.25;1;8
Most of the Affordable Care Act has already in some sense been waived or otherwise suspended.;0.25;-1;1.25;0;14
In this last election in November ... 63 percent of the American people chose not to vote ... 80 percent of young people and 75 percent of low-income workers chose not to vote.;0.5;0.48630997704396817;0.013690022956031833;2;31
McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote disgraceful. ;1;-1;2.0;0;17
U.S. Rep. Ron Kind D-Wis. and his fellow Democrats went on a spending spree and now their credit card is maxed out;0.25;-1;1.25;0;20
Water rates in Manila Philippines were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.;0.5;1.0;-0.5;1;20
Almost 100000 people left Puerto Rico last year.;0.75;-1;1.75;0;6
Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.;0;-1;1.0;0;18
The United States has the highest corporate tax rate in the free world.;0.75;1.0;-0.25;1;11
We just had the best year for the auto industry in America in history.;0.75;-1;1.75;0;12
Says Scott Walker favors cutting up to 350000 families and children off health care.;0.5;-1;1.5;0;12
Says Mitt Romney wants to get rid of Planned Parenthood.;0.25;-1;1.25;0;8
I dont know who Jonathan Gruber is.;0;-1;1.0;0;5
Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.;0.75;-1;1.75;0;12
Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.;0.5;1.0;-0.5;1;21
ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga Tenn.;0;-1;1.0;0;12
Youth unemployment in minority communities is about 40 to 45 percent.;0.75;-1;1.75;0;9
Says Paul Ryan is still endorsing Trump.;1;-1;2.0;0;5
If you look at states that are right to work they constantly do not have budget deficits and they have very good business climates.;0.25;-1;1.25;0;22
What the Obama administration is going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.;0;1.0;-1.0;1;30
We cut business taxes so today 70 percent of our businesses dont pay a business tax.;0.75;0.637390550246302;0.11260944975369802;2;14
Says Mark Pryor votes with Obama 93 percent of the time.;0.75;0.48630997704396817;0.26369002295603183;2;9
We have a federal government that thinks they have the authority to regulate our toilet seats.;1;1.0;0.0;1;14
Austin is a city that has basically doubled in size every 25 years or so since it was founded.;1;-1;2.0;0;17
The nuclear test conducted in our nation this time is the Earths 2054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.;1;1.0;0.0;1;31
In the case of a catastrophic event the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.;0;-1;1.0;0;18
Under President George W. Bush we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.;1;-1;2.0;0;20
