Data:    (DD/MM/AAAA)18/5/2019
Hora:    (HH:MM:SS)19:14:13
Training_File:   ../reports/report1852019191412_1/training_tab.csv
Validation_File: ../reports/report1852019191412_1/validation_tab.csv
Palavra: SAYS
Palavra: THE
Palavra: ANNIES
Probabilidade: 0.5
Alfa: 1
Palavra: THE
Palavra: ANNIES
Palavra: LIST
Probabilidade: 0.5
Alfa: 1
Palavra: ANNIES
Palavra: LIST
Palavra: POLITICAL
Probabilidade: 0.5
Alfa: 1
Palavra: LIST
Palavra: POLITICAL
Palavra: GROUP
Probabilidade: 0.5
Alfa: 1
Palavra: POLITICAL
Palavra: GROUP
Palavra: SUPPORTS
Probabilidade: 0.5
Alfa: 1
Palavra: GROUP
Palavra: SUPPORTS
Palavra: THIRD-TRIMESTER
Probabilidade: 0.5
Alfa: 1
Palavra: SUPPORTS
Palavra: THIRD-TRIMESTER
Palavra: ABORTIONS
Probabilidade: 0.5
Alfa: 1
Palavra: THIRD-TRIMESTER
Palavra: ABORTIONS
Palavra: ON
Probabilidade: 0.5
Alfa: 1
Palavra: ABORTIONS
Palavra: ON
Palavra: DEMAND.
Probabilidade: 0.5
Alfa: 1
['0', 'Says the Annies List political group supports third-trimester abortions on demand.']
Probabilidade do texto:  0
Probabilidade calculada: 0.666015625
Palavra: WHEN
Palavra: DID
Palavra: THE
Probabilidade: 0.5
Alfa: 1
Palavra: DID
Palavra: THE
Palavra: DECLINE
Probabilidade: 0.5
Alfa: 1
Palavra: THE
Palavra: DECLINE
Palavra: OF
Probabilidade: 0.5
Alfa: 1
Palavra: DECLINE
Palavra: OF
Palavra: COAL
Probabilidade: 0.5
Alfa: 1
Palavra: OF
Palavra: COAL
Palavra: START?
Probabilidade: 0.5
Alfa: 1
Palavra: COAL
Palavra: START?
Palavra: IT
Probabilidade: 0.5
Alfa: 1
Palavra: START?
Palavra: IT
Palavra: STARTED
Probabilidade: 0.5
Alfa: 1
Palavra: IT
Palavra: STARTED
Palavra: WHEN
Probabilidade: 0.5
Alfa: 1
Palavra: STARTED
Palavra: WHEN
Palavra: NATURAL
Probabilidade: 0.5
Alfa: 1
Palavra: WHEN
Palavra: NATURAL
Palavra: GAS
Probabilidade: 0.5
Alfa: 1
Palavra: NATURAL
Palavra: GAS
Palavra: TOOK
Probabilidade: 0.5
Alfa: 1
Palavra: GAS
Palavra: TOOK
Palavra: OFF
Probabilidade: 0.5
Alfa: 1
Palavra: TOOK
Palavra: OFF
Palavra: THAT
Probabilidade: 0.5
Alfa: 1
Palavra: OFF
Palavra: THAT
Palavra: STARTED
Probabilidade: 0.5
Alfa: 1
Palavra: THAT
Palavra: STARTED
Palavra: TO
Probabilidade: 0.5
Alfa: 1
Palavra: STARTED
Palavra: TO
Palavra: BEGIN
Probabilidade: 0.5
Alfa: 1
Palavra: TO
Palavra: BEGIN
Palavra: IN
Probabilidade: 0.5
Alfa: 1
Palavra: BEGIN
Palavra: IN
Palavra: PRESIDENT
Probabilidade: 0.5
Alfa: 1
Palavra: IN
Palavra: PRESIDENT
Palavra: GEORGE
Probabilidade: 0.5
Alfa: 1
Palavra: PRESIDENT
Palavra: GEORGE
Palavra: W.
Probabilidade: 0.5
Alfa: 1
Palavra: GEORGE
Palavra: W.
Palavra: BUSHS
Probabilidade: 0.5
Alfa: 1
Palavra: W.
Palavra: BUSHS
Palavra: ADMINISTRATION.
Probabilidade: 0.5
Alfa: 1
['0.5', 'When did the decline of coal start? It started when natural gas took off that started to begin in President George W. Bushs administration.']
Probabilidade do texto:  0.5
Probabilidade calculada: 0.6666667461395264
Palavra: HILLARY
Palavra: CLINTON
Palavra: AGREES
Probabilidade: 0.5
Alfa: 1
Palavra: CLINTON
Palavra: AGREES
Palavra: WITH
Probabilidade: 0.5
Alfa: 1
Palavra: AGREES
Palavra: WITH
Palavra: JOHN
Probabilidade: 0.5
Alfa: 1
Palavra: WITH
Palavra: JOHN
Palavra: MCCAIN
Probabilidade: 0.5
Alfa: 1
Palavra: JOHN
Palavra: MCCAIN
Palavra: BY
Probabilidade: 0.5
Alfa: 1
Palavra: MCCAIN
Palavra: BY
Palavra: VOTING
Probabilidade: 0.5
Alfa: 1
Palavra: BY
Palavra: VOTING
Palavra: TO
Probabilidade: 0.5
Alfa: 1
Palavra: VOTING
Palavra: TO
Palavra: GIVE
Probabilidade: 0.5
Alfa: 1
Palavra: TO
Palavra: GIVE
Palavra: GEORGE
Probabilidade: 0.5
Alfa: 1
Palavra: GIVE
Palavra: GEORGE
Palavra: BUSH
Probabilidade: 0.5
Alfa: 1
Palavra: GEORGE
Palavra: BUSH
Palavra: THE
Probabilidade: 0.5
Alfa: 1
Palavra: BUSH
Palavra: THE
Palavra: BENEFIT
Probabilidade: 0.5
Alfa: 1
Palavra: THE
Palavra: BENEFIT
Palavra: OF
Probabilidade: 0.5
Alfa: 1
Palavra: BENEFIT
Palavra: OF
Palavra: THE
Probabilidade: 0.5
Alfa: 1
Palavra: OF
Palavra: THE
Palavra: DOUBT
Probabilidade: 0.5
Alfa: 1
Palavra: THE
Palavra: DOUBT
Palavra: ON
Probabilidade: 0.5
Alfa: 1
Palavra: DOUBT
Palavra: ON
Palavra: IRAN.
Probabilidade: 0.5
Alfa: 1
['0.75', 'Hillary Clinton agrees with John McCain by voting to give George Bush the benefit of the doubt on Iran.']
Probabilidade do texto:  0.75
Probabilidade calculada: 0.6666641235351562
Palavra: HEALTH
Palavra: CARE
Palavra: REFORM
Probabilidade: 0.5
Alfa: 1
Palavra: CARE
Palavra: REFORM
Palavra: LEGISLATION
Probabilidade: 0.5
Alfa: 1
Palavra: REFORM
Palavra: LEGISLATION
Palavra: IS
Probabilidade: 0.5
Alfa: 1
Palavra: LEGISLATION
Palavra: IS
Palavra: LIKELY
Probabilidade: 0.5
Alfa: 1
Palavra: IS
Palavra: LIKELY
Palavra: TO
Probabilidade: 0.5
Alfa: 1
Palavra: LIKELY
Palavra: TO
Palavra: MANDATE
Probabilidade: 0.5
Alfa: 1
Palavra: TO
Palavra: MANDATE
Palavra: FREE
Probabilidade: 0.5
Alfa: 1
Palavra: MANDATE
Palavra: FREE
Palavra: SEX
Probabilidade: 0.5
Alfa: 1
Palavra: FREE
Palavra: SEX
Palavra: CHANGE
Probabilidade: 0.5
Alfa: 1
Palavra: SEX
Palavra: CHANGE
Palavra: SURGERIES.
Probabilidade: 0.5
Alfa: 1
['0', 'Health care reform legislation is likely to mandate free sex change surgeries.']
Probabilidade do texto:  0
Probabilidade calculada: 0.6669921875
Palavra: THE
Palavra: ECONOMIC
Palavra: TURNAROUND
Probabilidade: 0.5
Alfa: 1
Palavra: ECONOMIC
Palavra: TURNAROUND
Palavra: STARTED
Probabilidade: 0.5
Alfa: 1
Palavra: TURNAROUND
Palavra: STARTED
Palavra: AT
Probabilidade: 0.5
Alfa: 1
Palavra: STARTED
Palavra: AT
Palavra: THE
Probabilidade: 0.5
Alfa: 1
Palavra: AT
Palavra: THE
Palavra: END
Probabilidade: 0.5
Alfa: 1
Palavra: THE
Palavra: END
Palavra: OF
Probabilidade: 0.75
Alfa: 1
Palavra: END
Palavra: OF
Palavra: MY
Probabilidade: 0.5
Alfa: 1
Palavra: OF
Palavra: MY
Palavra: TERM.
Probabilidade: 0.5
Alfa: 1
['0.5', 'The economic turnaround started at the end of my term.']
Probabilidade do texto:  0.5
Probabilidade calculada: 0.708984375
Palavra: THE
Palavra: CHICAGO
Palavra: BEARS
Probabilidade: 0.5
Alfa: 1
Palavra: CHICAGO
Palavra: BEARS
Palavra: HAVE
Probabilidade: 0.5
Alfa: 1
Palavra: BEARS
Palavra: HAVE
Palavra: HAD
Probabilidade: 0.5
Alfa: 1
Palavra: HAVE
Palavra: HAD
Palavra: MORE
Probabilidade: 0.5
Alfa: 1
Palavra: HAD
Palavra: MORE
Palavra: STARTING
Probabilidade: 0.5
Alfa: 1
Palavra: MORE
Palavra: STARTING
Palavra: QUARTERBACKS
Probabilidade: 0.5
Alfa: 1
Palavra: STARTING
Palavra: QUARTERBACKS
Palavra: IN
Probabilidade: 0.5
Alfa: 1
Palavra: QUARTERBACKS
Palavra: IN
Palavra: THE
Probabilidade: 0.5
Alfa: 1
Palavra: IN
Palavra: THE
Palavra: LAST
Probabilidade: 0.5
Alfa: 1
Palavra: THE
Palavra: LAST
Palavra: 10
Probabilidade: 0.5
Alfa: 1
Palavra: LAST
Palavra: 10
Palavra: YEARS
Probabilidade: 0.5
Alfa: 1
Palavra: 10
Palavra: YEARS
Palavra: THAN
Probabilidade: 0.5
Alfa: 1
Palavra: YEARS
Palavra: THAN
Palavra: THE
Probabilidade: 0.5
Alfa: 1
Palavra: THAN
Palavra: THE
Palavra: TOTAL
Probabilidade: 0.5
Alfa: 1
Palavra: THE
Palavra: TOTAL
Palavra: NUMBER
Probabilidade: 0.5
Alfa: 1
Palavra: TOTAL
Palavra: NUMBER
Palavra: OF
Probabilidade: 0.5
Alfa: 1
Palavra: NUMBER
Palavra: OF
Palavra: TENURED
Probabilidade: 0.5
Alfa: 1
Palavra: OF
Palavra: TENURED
Palavra: UW
Probabilidade: 0.5
Alfa: 1
Palavra: TENURED
Palavra: UW
Palavra: FACULTY
Probabilidade: 0.5
Alfa: 1
Palavra: UW
Palavra: FACULTY
Palavra: FIRED
Probabilidade: 0.5
Alfa: 1
Palavra: FACULTY
Palavra: FIRED
Palavra: DURING
Probabilidade: 0.5
Alfa: 1
Palavra: FIRED
Palavra: DURING
Palavra: THE
Probabilidade: 0.5
Alfa: 1
Palavra: DURING
Palavra: THE
Palavra: LAST
Probabilidade: 0.5
Alfa: 1
Palavra: THE
Palavra: LAST
Palavra: TWO
Probabilidade: 0.5
Alfa: 1
Palavra: LAST
Palavra: TWO
Palavra: DECADES.
Probabilidade: 0.5
Alfa: 1
['1', 'The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured UW faculty fired during the last two decades.']
Probabilidade do texto:  1
Probabilidade calculada: 0.6666666567325592
Palavra: JIM
Palavra: DUNNAM
Palavra: HAS
Probabilidade: 0.5
Alfa: 1
Palavra: DUNNAM
Palavra: HAS
Palavra: NOT
Probabilidade: 0.5
Alfa: 1
Palavra: HAS
Palavra: NOT
Palavra: LIVED
Probabilidade: 0.5
Alfa: 1
Palavra: NOT
Palavra: LIVED
Palavra: IN
Probabilidade: 0.5
Alfa: 1
Palavra: LIVED
Palavra: IN
Palavra: THE
Probabilidade: 0.5
Alfa: 1
Palavra: IN
Palavra: THE
Palavra: DISTRICT
Probabilidade: 0.5
Alfa: 1
Palavra: THE
Palavra: DISTRICT
Palavra: HE
Probabilidade: 0.5
Alfa: 1
Palavra: DISTRICT
Palavra: HE
Palavra: REPRESENTS
Probabilidade: 0.5
Alfa: 1
Palavra: HE
