Data:    (DD/MM/AAAA)18/5/2019
Hora:    (HH:MM:SS)20:35:45
Training_File:   ../reports/report1852019201930_4/training_tab.csv
Validation_File: ../reports/report1852019201930_4/validation_tab.csv
Palavra: SAYS
Palavra: BERNIE
Probabilidade: 0.4772727272727273
Alfa: 2.3863636363636362
Palavra: BERNIE
Palavra: SANDERS
Probabilidade: 0.4519230769230769
Alfa: 2.2596153846153846
Palavra: SANDERS
Palavra: VOTED
Probabilidade: 0.6666666666666666
Alfa: 3.333333333333333
Palavra: VOTED
Palavra: FOR
Probabilidade: 0.4406779661016949
Alfa: 2.2033898305084745
Palavra: FOR
Palavra: WHAT
Probabilidade: 0.75
Alfa: 3.75
Palavra: WHAT
Palavra: WE
Probabilidade: 0.4642857142857143
Alfa: 2.321428571428571
Palavra: WE
Palavra: CALL
Probabilidade: -1
Alfa: -5.0
Palavra: CALL
Palavra: THE
Probabilidade: 0.75
Alfa: 3.75
Palavra: THE
Palavra: CHARLESTON
Probabilidade: 0.75
Alfa: 3.75
Palavra: CHARLESTON
Palavra: LOOPHOLE
Probabilidade: -1
Alfa: -5.0
['0.75', 'Says Bernie Sanders voted for what we call the Charleston Loophole']
Probabilidade do texto:  0.75
Probabilidade calculada: 0.9689217026494145
Palavra: WE
Palavra: DONT
Probabilidade: 0.21666666666666667
Alfa: 1.0833333333333333
Palavra: DONT
Palavra: HAVE
Probabilidade: 0.4838709677419355
Alfa: 2.4193548387096775
Palavra: HAVE
Palavra: ANY
Probabilidade: 0.55
Alfa: 2.75
Palavra: ANY
Palavra: CHESS
Probabilidade: -1
Alfa: -5.0
Palavra: CHESS
Palavra: GRANDMASTERS
Probabilidade: -1
Alfa: -5.0
Palavra: GRANDMASTERS
Palavra: IN
Probabilidade: -1
Alfa: -5.0
Palavra: IN
Palavra: THE
Probabilidade: 0.5218720602069614
Alfa: 2.609360301034807
Palavra: THE
Palavra: UNITED
Probabilidade: 0.494
Alfa: 2.4699999999999998
Palavra: UNITED
Palavra: STATES
Probabilidade: 0.501004016064257
Alfa: 2.505020080321285
['0', 'We dont have any chess grandmasters in the United States']
Probabilidade do texto:  0
Probabilidade calculada: 0.8526970906808418
Palavra: OBAMAS
Palavra: PLAN
Probabilidade: 0.2
Alfa: 1.0
Palavra: PLAN
Palavra: FOR
Probabilidade: 0.46153846153846156
Alfa: 2.3076923076923075
Palavra: FOR
Palavra: HEALTH
Probabilidade: 0.3888888888888889
Alfa: 1.9444444444444444
Palavra: HEALTH
Palavra: CARE
Probabilidade: 0.36237785016286644
Alfa: 1.811889250814332
Palavra: CARE
Palavra: REFORM
Probabilidade: 0.41964285714285715
Alfa: 2.0982142857142856
Palavra: REFORM
Palavra: ENDS
Probabilidade: -1
Alfa: -5.0
Palavra: ENDS
Palavra: EXORBITANT
Probabilidade: -1
Alfa: -5.0
Palavra: EXORBITANT
Palavra: OUT-OF-POCKET
Probabilidade: -1
Alfa: -5.0
Palavra: OUT-OF-POCKET
Palavra: EXPENSES
Probabilidade: -1
Alfa: -5.0
Palavra: EXPENSES
Palavra: DEDUCTIBLES
Probabilidade: -1
Alfa: -5.0
Palavra: DEDUCTIBLES
Palavra: OR
Probabilidade: -1
Alfa: -5.0
Palavra: OR
Palavra: CO-PAYS
Probabilidade: -1
Alfa: -5.0
['0.75', 'Obamas plan for health care reform ends exorbitant out-of-pocket expenses deductibles or co-pays']
Probabilidade do texto:  0.75
Probabilidade calculada: 0.9696969697027711
Palavra: THE
Palavra: NO.
Probabilidade: 0.5526315789473685
Alfa: 2.763157894736842
Palavra: NO.
Palavra: 1
Probabilidade: 0.6296296296296297
Alfa: 3.148148148148148
Palavra: 1
Palavra: CAUSE
Probabilidade: 0.75
Alfa: 3.75
Palavra: CAUSE
Palavra: OF
Probabilidade: 0.35
Alfa: 1.7499999999999998
Palavra: OF
Palavra: CHILDHOOD
Probabilidade: 0.5
Alfa: 2.5
Palavra: CHILDHOOD
Palavra: DEATHS
Probabilidade: -1
Alfa: -5.0
Palavra: DEATHS
Palavra: IS
Probabilidade: -1
Alfa: -5.0
Palavra: IS
Palavra: PREVENTABLE
Probabilidade: -1
Alfa: -5.0
Palavra: PREVENTABLE
Palavra: ACCIDENTS
Probabilidade: -1
Alfa: -5.0
['0.75', 'The No. 1 cause of childhood deaths is preventable accidents']
Probabilidade do texto:  0.75
Probabilidade calculada: 0.9696969089151528
Palavra: JEFF
Palavra: ATWATERS
Probabilidade: 0.0
Alfa: 0.0
Palavra: ATWATERS
Palavra: BANK
Probabilidade: -1
Alfa: -5.0
Palavra: BANK
Palavra: WAS
Probabilidade: -1
Alfa: -5.0
Palavra: WAS
Palavra: SO
Probabilidade: 0.5
Alfa: 2.5
Palavra: SO
Palavra: WEAK
Probabilidade: -1
Alfa: -5.0
Palavra: WEAK
Palavra: THAT
Probabilidade: -1
Alfa: -5.0
Palavra: THAT
Palavra: JUST
Probabilidade: 0.4375
Alfa: 2.1875
Palavra: JUST
Palavra: A
Probabilidade: 0.625
Alfa: 3.125
Palavra: A
Palavra: FEW
Probabilidade: 0.45
Alfa: 2.25
Palavra: FEW
Palavra: MONTHS
Probabilidade: 0.4375
Alfa: 2.1875
Palavra: MONTHS
Palavra: AGO
Probabilidade: 0.3333333333333333
Alfa: 1.6666666666666665
Palavra: AGO
Palavra: IT
Probabilidade: 0.0
Alfa: 0.0
Palavra: IT
Palavra: WAS
Probabilidade: 0.4652777777777778
Alfa: 2.326388888888889
Palavra: WAS
Palavra: SHUT
Probabilidade: -1
Alfa: -5.0
Palavra: SHUT
Palavra: DOWN
Probabilidade: 0.25
Alfa: 1.25
Palavra: DOWN
Palavra: BY
Probabilidade: 0.6666666666666666
Alfa: 3.333333333333333
Palavra: BY
Palavra: THE
Probabilidade: 0.4107142857142857
Alfa: 2.0535714285714284
Palavra: THE
Palavra: FDIC
Probabilidade: -1
Alfa: -5.0
['0.5', 'Jeff Atwaters bank was so weak that just a few months ago it was shut down by the FDIC']
Probabilidade do texto:  0.5
Probabilidade calculada: 0.979211496033306
Palavra: AS
Palavra: LONG
Probabilidade: 0.46875
Alfa: 2.34375
Palavra: LONG
Palavra: AS
Probabilidade: 0.4642857142857143
Alfa: 2.321428571428571
Palavra: AS
Palavra: I
Probabilidade: 0.65
Alfa: 3.25
Palavra: I
Palavra: HAVE
Probabilidade: 0.391025641025641
Alfa: 1.955128205128205
Palavra: HAVE
Palavra: SERVED
Probabilidade: 0.0
Alfa: 0.0
Palavra: SERVED
Palavra: THIS
Probabilidade: -1
Alfa: -5.0
Palavra: THIS
Palavra: IS
Probabilidade: 0.3629032258064516
Alfa: 1.814516129032258
Palavra: IS
Palavra: THE
Probabilidade: 0.4602941176470588
Alfa: 2.301470588235294
Palavra: THE
Palavra: FIRST
Probabilidade: 0.5173076923076924
Alfa: 2.5865384615384617
Palavra: FIRST
Palavra: TIME
Probabilidade: 0.5769230769230769
Alfa: 2.884615384615384
Palavra: TIME
Palavra: EVERY
Probabilidade: -1
Alfa: -5.0
Palavra: EVERY
Palavra: SINGLE
Probabilidade: 0.5652173913043478
Alfa: 2.826086956521739
Palavra: SINGLE
Palavra: SOLITARY
Probabilidade: -1
Alfa: -5.0
Palavra: SOLITARY
Palavra: DECISION
Probabilidade: -1
Alfa: -5.0
Palavra: DECISION
Palavra: HAS
Probabilidade: -1
Alfa: -5.0
Palavra: HAS
Palavra: REQUIRED
Probabilidade: -1
Alfa: -5.0
Palavra: REQUIRED
Palavra: 60
Probabilidade: -1
Alfa: -5.0
Palavra: 60
Palavra: SENATORS
Probabilidade: -1
Alfa: -5.0
['0', 'As long as I have served This is the first time every single solitary decision has required 60 senators']
Probabilidade do texto:  0
Probabilidade calculada: 0.9696969696392795
Palavra: THE
Palavra: STATE
Probabilidade: 0.46236559139784944
Alfa: 2.311827956989247
Palavra: STATE
Palavra: OF
Probabilidade: 0.5524193548387096
Alfa: 2.762096774193548
Palavra: OF
Palavra: TEXAS
Probabilidade: 0.5119047619047619
Alfa: 2.5595238095238093
Palavra: TEXAS
Palavra: DOES
Probabilidade: -1
Alfa: -5.0
Palavra: DOES
Palavra: NOT
Probabilidade: 0.5857142857142857
Alfa: 2.9285714285714284
Palavra: NOT
Palavra: EVEN
Probabilidade: 0.4583333333333333
Alfa: 2.2916666666666665
Palavra: EVEN
Palavra: USE
Probabilidade: 1.0
Alfa: 5.0
Palavra: USE
Palavra: THE
Probabilidade: 0.2222222222222222
Alfa: 1.111111111111111
Palavra: THE
Palavra: E-VERIFY
Probabilidade: -1
Alfa: -5.0
Palavra: E-VERIFY
Palavra: SYSTEM
Probabilidade: -1
Alfa: -5.0
Palavra: SYSTEM
Palavra: TO
Probabilidade: 0.0
Alfa: 0.0
Palavra: TO
Palavra: DETERMINE
Probabilidade: 0.25
Alfa: 1.25
